classification_actionability,description_actionability,label_arbitration_allowed,merge_group,name,recommended_use,registry_row,risk_flags,source_scope,source_type,status,track2_actionability_score,track2_use,url,verified_public_fact
0.700,0.550,no,url_dup_06;name_dup_03,Hongxia Xie / AVC Lab,auxiliary_teacher_or_diagnostic_only,11,none,author,lab,verified,0.663,Collaborator/publication graph seed,https://www.hongxiaxie.net/,Lists EmoArt ACM MM 2025; EmoVIT CVPR 2024; related affective computing outputs
0.450,0.350,no,,EmoVIT CVPR 2024,auxiliary_teacher_or_diagnostic_only,12,none,auxiliary,paper,verified,0.414,Teacher prompt/instruction tuning pattern,https://openaccess.thecvf.com/content/CVPR2024/html/Xie_EmoVIT_Revolutionizing_Emotion_Insights_with_Visual_Instruction_Tuning_CVPR_2024_paper.html,Emotion visual instruction tuning; GPT-assisted emotion instruction data
0.580,0.550,no,url_dup_04;name_dup_04,aimmemotion/EmoVIT,auxiliary_teacher_or_diagnostic_only,13,auxiliary_only,author,code,verified,0.594,Potential auxiliary emotion teacher,https://github.com/aimmemotion/EmoVIT,Official CVPR 2024 code and model/data preparation notes
0.450,0.350,no,,WikiArt Emotions,auxiliary_teacher_or_diagnostic_only,14,auxiliary_only,auxiliary,dataset,verified,0.414,Auxiliary art emotion prior; requires label mapping,https://aclanthology.org/L18-1197.pdf,4000+ WikiArt artworks; 20 emotion categories; image/title/whole-art annotations
0.340,0.550,no,,ArtEmis,background_context_only,15,not_track2_gold,auxiliary,dataset,verified,0.418,Description/caption style training; not Track2 gold,https://arxiv.org/abs/2101.07396,439K emotion attributions and explanations on 81K WikiArt artworks
0.340,0.860,no,url_dup_02;name_dup_01,EmoSet,description_score_or_attribute_audit,16,generic_visual_emotion;not_painting-only,auxiliary,dataset,verified,0.523,Generic visual emotion backbone; not painting-only,https://arxiv.org/abs/2307.07961,3.3M images; 118102 human-labeled; rich attributes
0.340,0.350,no,url_dup_05;name_dup_02,EmoVerse,background_context_only,17,noncompatible,auxiliary,dataset,verified,0.350,Interpretability/grounding ideas; noncompatible label space,https://huggingface.co/datasets/PiLabUSTC/EmoVerse-Dataset,234189 images; B-A-S triplets; CES/DES; includes EmoArt among sources
0.920,0.650,yes,,AffectiveArt official website,label_arbitration_or_core_calibration,18,none,official,challenge,verified,0.835,Track1/Track2 official public hub,https://affectiveart-challenge.github.io/,"Official site lists rules, awards, organizers, dates, and public dataset links"
0.880,0.600,yes,,AffectiveArt submission instructions,label_arbitration_or_core_calibration,19,none,official,challenge,verified,0.794,Submission-risk control and final package planning,https://github.com/lizihan363-ship-it/AffectiveArt2026/blob/main/Submission%20Instructions.md,Public submission package schema; max 5 submissions total; top teams provide code/report
0.220,0.350,no,,ACM MM 2026 Grand Challenges page,background_context_only,20,none,auxiliary,conference,verified,0.280,Confirms official challenge status,https://2026.acmmm.org/site/grand-challenges.html,AffectiveArt listed as accepted ACM MM 2026 Grand Challenge
0.450,0.350,no,,EmoVIT,auxiliary_teacher_or_diagnostic_only,21,auxiliary_only,auxiliary,paper,verified,0.414,Teacher/review prompt design; auxiliary emotion reasoning,https://arxiv.org/abs/2404.16670,Emotion visual instruction tuning; GPT-assisted emotion instruction data; code released
0.580,0.550,no,url_dup_04;name_dup_04,aimmemotion/EmoVIT,auxiliary_teacher_or_diagnostic_only,22,auxiliary_only,author,code,verified,0.594,Potential auxiliary emotion-instruction baseline,https://github.com/aimmemotion/EmoVIT,Official CVPR 2024 EmoVIT code
0.700,0.550,yes,url_dup_06;name_dup_03,Hongxia Xie / AVC Lab,label_arbitration_or_core_calibration,23,none,author,profile,verified,0.663,Core collaborator graph and method lineage,https://www.hongxiaxie.net/,"JLU AVC Lab PI; lists EmoArt, EmoVIT, AffectiveArt, related publications"
0.700,0.550,no,,Hongxia Xie research page,auxiliary_teacher_or_diagnostic_only,24,none,author,profile,verified,0.663,Generation/agent/data-pipeline lineage,https://www.hongxiaxie.net/research,"Research vision and project list: MindPower, EmoArt, CookAnything"
0.220,0.350,no,,Wen-Huang Cheng homepage,background_context_only,25,none,auxiliary,profile,verified,0.280,Organizer lineage and multimedia quality expertise,https://www.csie.ntu.edu.tw/~wenhuang/index.html,NTU Distinguished Chair Professor; AI/multimedia/computer vision research
0.220,0.350,no,url_dup_03,Hong-Han Shuai BASIC Lab,background_context_only,26,none,auxiliary,profile,verified,0.280,Organizer lineage; generative/model robustness signals,https://basiclab.lab.nycu.edu.tw/,"Generative models, LLMs, data mining, multimedia; lists EmoVIT and affective works"
0.220,0.350,no,,Jianlong Fu MSRA publications,background_context_only,27,none,auxiliary,profile,verified,0.280,"Generation, repair, multimodal quality strategy signal",https://www.microsoft.com/en-us/research/people/jianf/publications/,"PromptFix, MM-Diffusion, visual storytelling, multimodal generation outputs"
0.450,0.350,no,url_dup_01,Sicheng Zhao AICA survey,auxiliary_teacher_or_diagnostic_only,28,none,auxiliary,paper,verified,0.414,Visual emotion prior and domain adaptation strategy,https://arxiv.org/abs/2106.16125,"Affective image content analysis survey; discusses affective gap, subjectivity, label noise"
0.220,0.350,no,url_dup_05;name_dup_02,EmoVerse,background_context_only,29,auxiliary_only,auxiliary,paper,verified,0.280,Auxiliary interpretable grounding and cross-model verification,https://huggingface.co/datasets/PiLabUSTC/EmoVerse-Dataset,234189 images; B-A-S triplets; DES; grounding via Grounding DINO/SAM
0.340,0.860,no,url_dup_02;name_dup_01,EmoSet,description_score_or_attribute_audit,30,auxiliary_only;not_painting-only,auxiliary,paper,verified,0.523,Auxiliary visual emotion attributes; not painting-only,https://arxiv.org/abs/2307.07961,3.3M images; 118102 human-labeled; rich emotion attributes
0.220,0.350,no,,PromptFix,background_context_only,31,auxiliary_only,auxiliary,paper,verified,0.280,Track1 candidate repair prompt adapter,https://arxiv.org/abs/2407.00640,VLM-assisted auxiliary prompt adapter for image restoration; repairs images via learned prompt guidance
0.220,0.350,no,,microsoft/PromptFix,background_context_only,32,none,auxiliary,code,verified,0.280,Track1 hardcase repair and VLM-derived prompt adaptation,https://github.com/microsoft/PromptFix,Official PromptFix repository from Microsoft organization
0.450,0.350,no,url_dup_01,Affective Image Content Analysis,auxiliary_teacher_or_diagnostic_only,33,none,auxiliary,survey,verified,0.414,Track1 emotion/style distribution routing and Track2 label priors,https://arxiv.org/abs/2106.16125,"Survey of affective gap, subjectivity, visual emotion, domain adaptation, and label distribution learning"
0.450,0.350,no,,Affective Image Content Analysis list,auxiliary_teacher_or_diagnostic_only,34,none,auxiliary,code,verified,0.414,P1 method crawl seed for visual emotion datasets/algorithms,https://github.com/Priscilla-Lu/Affective-Image-Content-Analysis,Curated repository list for visual emotion analysis resources
0.220,0.350,no,,MER-GCN,background_context_only,35,none,auxiliary,paper,verified,0.280,Track1 relation semantics graph gate inspiration,https://arxiv.org/abs/2004.08915,Micro-expression recognition with relation graph convolutional network
0.220,0.350,no,,Micro-expression recognition survey,background_context_only,36,none,auxiliary,survey,verified,0.280,Track1 subtle visual cue and relation-gate inspiration,https://arxiv.org/abs/2012.11307,Survey on facial micro-expression analysis with attention/region/temporal cue issues
0.220,0.350,no,url_dup_03,BASIC Lab,background_context_only,37,none,auxiliary,lab,verified,0.280,Organizer lineage and method crawl seed,https://basiclab.lab.nycu.edu.tw/,"Hong-Han Shuai lab site; generative models, LLMs, data mining, multimedia projects"
