cross_quadrant_risk,current_arousal,current_emotion,current_valence,decision,evidence_score,gemini35_objection,human_accept_support,proposed_arousal,proposed_emotion,proposed_valence,public_style_agreement,same_quadrant,sample_id,supporting_families,supporting_family_count,supporting_source_count,supporting_sources,transition
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0104,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0109,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0193,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0266,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0343,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0426,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0430,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0456,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0496,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0534,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0588,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0597,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0633,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0652,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0702,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0744,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0751,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0761,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0807,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,content,Positive,accept_safe,15,False,False,Low,calm,Positive,False,True,track2_0819,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue,content->calm
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0937,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,14,False,False,Low,content,Positive,False,True,track2_0089,label_rubric;model;public_reference;selective;teacher,5,8,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue,calm->content
False,Low,sad,Negative,accept_safe,12,False,False,Low,tired,Negative,False,True,track2_0408,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,sad->tired
False,Low,content,Positive,accept_safe,12,False,False,Low,glad,Positive,False,True,track2_0434,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,content->glad
False,Low,content,Positive,accept_safe,12,False,False,Low,glad,Positive,False,True,track2_0604,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,content->glad
False,High,excited,Positive,accept_safe,12,False,False,High,happy,Positive,False,True,track2_0964,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,excited->happy
False,Low,content,Positive,accept_safe,11,False,False,Low,glad,Positive,False,True,track2_0027,label_rubric;public_reference;selective;teacher,4,6,label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,content->glad
False,Low,content,Positive,accept_safe,11,False,False,Low,glad,Positive,False,True,track2_0057,label_rubric;public_reference;selective;teacher,4,6,label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,content->glad
False,Low,content,Positive,accept_safe,11,False,False,Low,glad,Positive,False,True,track2_0111,label_rubric;public_reference;selective;teacher,4,6,label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,content->glad
False,Low,calm,Positive,accept_safe,11,False,False,Low,glad,Positive,False,True,track2_0622,label_rubric;public_reference;selective;teacher,4,6,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue,calm->glad
False,Low,calm,Positive,accept_safe,11,False,False,Low,glad,Positive,False,True,track2_0897,label_rubric;public_reference;selective;teacher,4,6,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue,calm->glad
True,High,annoyed,Negative,accept_push_cross_quadrant,11,False,False,Low,calm,Positive,False,False,track2_0547,label_rubric;model;public_reference;selective;teacher,5,10,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,annoyed->calm
False,Low,content,Positive,accept_safe,10,False,False,Low,calm,Positive,False,True,track2_0210,label_rubric;model;public_reference;teacher,4,5,ensemble;label_auto;public_ref_auto;teacher_rescue;teacher_top120,content->calm
False,Low,calm,Positive,accept_safe,10,False,False,Low,content,Positive,False,True,track2_0495,label_rubric;model;selective,3,6,balanced;dinov2;ensemble;label_selective;selective_v2;siglip2,calm->content
False,Low,content,Positive,accept_safe,10,False,False,Low,calm,Positive,False,True,track2_0555,label_rubric;model;public_reference;teacher,4,5,ensemble;label_auto;public_ref_auto;teacher_rescue;teacher_top120,content->calm
False,Low,content,Positive,accept_safe,10,False,False,Low,calm,Positive,False,True,track2_0869,label_rubric;model;public_reference;teacher,4,5,ensemble;label_auto;public_ref_auto;teacher_rescue;teacher_top120,content->calm
False,Low,content,Positive,accept_safe,10,False,False,Low,calm,Positive,False,True,track2_0871,label_rubric;model;public_reference;teacher,4,5,ensemble;label_auto;public_ref_auto;teacher_rescue;teacher_top120,content->calm
False,Low,content,Positive,accept_safe,10,False,False,Low,calm,Positive,False,True,track2_0914,label_rubric;model;public_reference;teacher,4,5,ensemble;label_auto;public_ref_auto;teacher_rescue;teacher_top120,content->calm
False,Low,calm,Positive,accept_safe,10,False,False,Low,content,Positive,False,True,track2_0955,label_rubric;model;selective,3,6,balanced;dinov2;ensemble;label_selective;selective_v2;siglip2,calm->content
False,Low,content,Positive,accept_safe,10,False,False,Low,calm,Positive,True,True,track2_0956,model;public_style,2,5,ensemble;public_conservative10;public_landscape8;public_review11;siglip2,content->calm
False,Low,calm,Positive,accept_safe,9,False,False,Low,content,Positive,False,True,track2_0023,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content
False,Low,calm,Positive,accept_safe,9,False,False,Low,content,Positive,False,True,track2_0130,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content
False,Low,content,Positive,accept_safe,9,False,False,Low,calm,Positive,True,True,track2_0169,model;public_style,2,4,ensemble;public_conservative10;public_landscape8;public_review11,content->calm
False,Low,calm,Positive,accept_safe,9,False,False,Low,content,Positive,False,True,track2_0285,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content
False,Low,content,Positive,accept_safe,9,False,False,Low,calm,Positive,True,True,track2_0410,model;public_style,2,4,ensemble;public_conservative10;public_landscape8;public_review11,content->calm
False,Low,content,Positive,accept_safe,9,False,False,Low,calm,Positive,True,True,track2_0443,model;public_style,2,4,ensemble;public_conservative10;public_landscape8;public_review11,content->calm
False,Low,content,Positive,accept_safe,9,False,False,Low,calm,Positive,True,True,track2_0515,model;public_style,2,4,ensemble;public_conservative10;public_landscape8;public_review11,content->calm
False,Low,content,Positive,accept_safe,9,False,False,Low,calm,Positive,True,True,track2_0580,model;public_style,2,4,ensemble;public_conservative10;public_landscape8;public_review11,content->calm
False,Low,calm,Positive,accept_safe,9,False,False,Low,content,Positive,False,True,track2_0647,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content
False,Low,content,Positive,accept_safe,9,False,False,Low,calm,Positive,True,True,track2_0651,model;public_style,2,4,ensemble;public_conservative10;public_landscape8;public_review11,content->calm
False,Low,content,Positive,accept_safe,9,False,False,Low,calm,Positive,True,True,track2_0765,model;public_style;teacher,3,3,ensemble;public_review11;teacher_top120,content->calm
False,Low,calm,Positive,accept_safe,9,False,False,Low,content,Positive,False,True,track2_0841,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content
False,Low,calm,Positive,accept_safe,9,False,False,Low,content,Positive,False,True,track2_0864,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content
False,Low,content,Positive,accept_safe,9,False,False,Low,calm,Positive,True,True,track2_0880,model;public_style,2,4,ensemble;public_conservative10;public_landscape8;public_review11,content->calm
False,Low,calm,Positive,accept_safe,9,False,False,Low,content,Positive,False,True,track2_0904,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content
False,Low,content,Positive,accept_safe,8,False,False,Low,calm,Positive,True,True,track2_0704,model;public_style,2,3,ensemble;public_conservative10;public_review11,content->calm
False,Low,content,Positive,accept_safe,8,False,False,Low,calm,Positive,True,True,track2_0944,model;public_style,2,3,ensemble;public_conservative10;public_review11,content->calm
False,High,aroused,Positive,accept_safe,7,False,False,High,excited,Positive,False,True,track2_0372,model;selective,2,4,balanced;dinov2;ensemble;siglip2,aroused->excited
False,Low,glad,Positive,accept_safe,7,False,False,Low,content,Positive,False,True,track2_0913,model;selective,2,4,balanced;dinov2;ensemble;siglip2,glad->content
True,Low,calm,Positive,accept_push_cross_quadrant,7,False,False,Low,tired,Negative,False,False,track2_0088,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,calm->tired
True,Low,calm,Positive,accept_push_cross_quadrant,7,False,False,Low,tired,Negative,False,False,track2_0139,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,calm->tired
True,Low,calm,Positive,accept_push_cross_quadrant,7,False,False,Low,bored,Negative,False,False,track2_0319,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,calm->bored
True,Low,calm,Positive,accept_push_cross_quadrant,7,False,False,Low,bored,Negative,False,False,track2_0414,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,calm->bored
True,Low,calm,Positive,accept_push_cross_quadrant,7,False,False,High,aroused,Positive,False,False,track2_0457,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,calm->aroused
True,Low,calm,Positive,accept_push_cross_quadrant,7,False,False,High,aroused,Positive,False,False,track2_0665,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,calm->aroused
True,High,alarmed,Negative,accept_push_cross_quadrant,7,False,False,High,aroused,Positive,False,False,track2_0728,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,alarmed->aroused
True,Low,calm,Positive,accept_push_cross_quadrant,7,False,False,Low,tired,Negative,False,False,track2_0925,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,calm->tired
False,Low,tired,Negative,accept_safe,5,False,False,Low,sad,Negative,False,True,track2_0031,model,1,3,dinov2;ensemble;siglip2,tired->sad
False,Low,bored,Negative,accept_safe,5,False,False,Low,sad,Negative,False,True,track2_0113,model,1,3,dinov2;ensemble;siglip2,bored->sad
False,High,happy,Positive,accept_safe,5,False,False,High,excited,Positive,False,True,track2_0152,model,1,3,dinov2;ensemble;siglip2,happy->excited
False,Low,glad,Positive,accept_safe,5,False,False,Low,content,Positive,False,True,track2_0237,model,1,3,dinov2;ensemble;siglip2,glad->content
False,Low,content,Positive,accept_safe,5,False,False,Low,calm,Positive,False,True,track2_0280,model;teacher,2,2,ensemble;teacher_top120,content->calm
False,Low,calm,Positive,hold,5,True,False,Low,content,Positive,False,True,track2_0281,label_rubric;model;selective,3,6,balanced;dinov2;ensemble;label_selective;selective_v2;siglip2,calm->content
False,Low,tired,Negative,accept_safe,5,False,False,Low,sad,Negative,False,True,track2_0567,model,1,3,dinov2;ensemble;siglip2,tired->sad
False,Low,glad,Positive,accept_safe,5,False,False,Low,calm,Positive,False,True,track2_0643,model,1,3,dinov2;ensemble;siglip2,glad->calm
False,Low,tired,Negative,accept_safe,5,False,False,Low,sad,Negative,False,True,track2_0694,model,1,3,dinov2;ensemble;siglip2,tired->sad
False,Low,content,Positive,accept_safe,5,False,False,Low,calm,Positive,False,True,track2_0718,model;teacher,2,2,ensemble;teacher_top120,content->calm
False,Low,content,Positive,accept_safe,5,False,False,Low,calm,Positive,False,True,track2_0809,model;teacher,2,2,ensemble;teacher_top120,content->calm
False,Low,glad,Positive,accept_safe,5,False,False,Low,content,Positive,False,True,track2_0818,model,1,3,dinov2;ensemble;siglip2,glad->content
False,Low,glad,Positive,accept_safe,5,False,False,Low,content,Positive,False,True,track2_0957,model,1,3,dinov2;ensemble;siglip2,glad->content
True,Low,calm,Positive,accept_push_cross_quadrant,5,False,False,Low,sad,Negative,False,False,track2_0153,model;public_reference;selective,3,6,balanced;dinov2;ensemble;public_ref_auto;selective_v2;siglip2,calm->sad
True,Low,calm,Positive,accept_push_cross_quadrant,5,False,False,Low,tired,Negative,False,False,track2_0286,model;public_reference;selective,3,6,balanced;dinov2;ensemble;public_ref_auto;selective_v2;siglip2,calm->tired
True,Low,calm,Positive,accept_push_cross_quadrant,5,False,False,Low,tired,Negative,False,False,track2_0318,model;public_reference;selective,3,6,balanced;dinov2;ensemble;public_ref_auto;selective_v2;siglip2,calm->tired
True,Low,calm,Positive,accept_push_cross_quadrant,5,False,False,Low,tired,Negative,False,False,track2_0796,label_rubric;model;selective,3,6,balanced;dinov2;ensemble;label_selective;selective_v2;siglip2,calm->tired
True,Low,content,Positive,accept_push_cross_quadrant,5,False,False,High,annoyed,Negative,False,False,track2_0815,label_rubric;model;selective,3,6,balanced;dinov2;ensemble;label_selective;selective_v2;siglip2,content->annoyed
True,Low,calm,Positive,accept_push_cross_quadrant,5,False,False,Low,bored,Negative,False,False,track2_0829,model;public_reference;selective,3,6,balanced;dinov2;ensemble;public_ref_auto;selective_v2;siglip2,calm->bored
False,Low,calm,Positive,hold,4,True,False,Low,content,Positive,False,True,track2_0161,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content
False,Low,calm,Positive,hold,4,True,False,Low,content,Positive,False,True,track2_0199,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content
False,Low,calm,Positive,hold,4,True,False,Low,content,Positive,False,True,track2_0569,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content
False,Low,calm,Positive,hold,4,True,False,Low,content,Positive,False,True,track2_0606,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content
False,Low,calm,Positive,hold,4,True,False,Low,content,Positive,False,True,track2_0794,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content
False,Low,calm,Positive,hold,4,True,False,Low,content,Positive,False,True,track2_0866,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content
False,Low,content,Positive,accept_mid,3,False,False,Low,calm,Positive,False,True,track2_0044,model,1,1,ensemble,content->calm
False,Low,content,Positive,accept_mid,3,False,False,Low,calm,Positive,False,True,track2_0087,model,1,1,ensemble,content->calm
False,Low,content,Positive,accept_mid,3,False,False,Low,calm,Positive,False,True,track2_0099,model,1,1,ensemble,content->calm
False,Low,content,Positive,accept_mid,3,False,False,Low,calm,Positive,False,True,track2_0270,model,1,1,ensemble,content->calm
False,Low,content,Positive,accept_mid,3,False,False,Low,calm,Positive,False,True,track2_0271,model,1,1,ensemble,content->calm
False,Low,content,Positive,accept_mid,3,False,False,Low,calm,Positive,False,True,track2_0455,model,1,1,ensemble,content->calm
False,Low,content,Positive,accept_mid,3,False,False,Low,calm,Positive,False,True,track2_0481,model,1,1,ensemble,content->calm
False,Low,content,Positive,accept_mid,3,False,False,Low,calm,Positive,False,True,track2_0557,model,1,1,ensemble,content->calm
False,Low,calm,Positive,accept_mid,3,False,False,Low,content,Positive,False,True,track2_0622,teacher,1,1,teacher_top120,calm->content
False,Low,content,Positive,accept_mid,3,False,False,Low,calm,Positive,False,True,track2_0678,model,1,1,ensemble,content->calm
False,Low,content,Positive,accept_mid,3,False,False,Low,calm,Positive,False,True,track2_0800,model,1,1,ensemble,content->calm
False,Low,content,Positive,accept_mid,3,False,False,Low,calm,Positive,False,True,track2_0832,model,1,1,ensemble,content->calm
False,Low,content,Positive,accept_mid,3,False,False,Low,calm,Positive,False,True,track2_0941,model,1,1,ensemble,content->calm
False,Low,content,Positive,accept_mid,3,False,False,Low,calm,Positive,False,True,track2_0942,model,1,1,ensemble,content->calm
False,Low,content,Positive,accept_mid,3,False,False,Low,calm,Positive,False,True,track2_0996,model,1,1,ensemble,content->calm
True,Low,calm,Positive,diagnostic_push,3,False,False,Low,tired,Negative,False,False,track2_0299,model;selective,2,5,balanced;dinov2;ensemble;selective_v2;siglip2,calm->tired
True,High,aroused,Positive,diagnostic_push,3,False,False,Low,calm,Positive,False,False,track2_0873,label_rubric;public_reference;teacher,3,4,label_auto;public_ref_auto;teacher_rescue;teacher_top120,aroused->calm
True,Low,calm,Positive,hold,1,False,False,Low,tired,Negative,False,False,track2_0452,public_reference;selective,2,3,balanced;public_ref_auto;selective_v2,calm->tired
True,Low,calm,Positive,hold,1,False,False,Low,sad,Negative,False,False,track2_0605,public_reference;selective,2,3,balanced;public_ref_auto;selective_v2,calm->sad
True,Low,calm,Positive,hold,1,False,False,Low,tired,Negative,False,False,track2_0772,public_reference;selective,2,3,balanced;public_ref_auto;selective_v2,calm->tired
True,High,alarmed,Negative,hold,0,False,False,Low,sad,Negative,False,False,track2_0030,model,1,3,dinov2;ensemble;siglip2,alarmed->sad
True,Low,tired,Negative,hold,0,False,False,Low,calm,Positive,False,False,track2_0056,model,1,3,dinov2;ensemble;siglip2,tired->calm
True,High,frustrated,Negative,hold,0,False,False,Low,sad,Negative,False,False,track2_0245,model,1,3,dinov2;ensemble;siglip2,frustrated->sad
True,Low,bored,Negative,hold,0,False,False,Low,calm,Positive,False,False,track2_0273,model,1,3,dinov2;ensemble;siglip2,bored->calm
True,High,aroused,Positive,hold,0,False,False,Low,calm,Positive,False,False,track2_0279,model,1,3,dinov2;ensemble;siglip2,aroused->calm
True,Low,calm,Positive,hold,0,True,False,High,frustrated,Negative,False,False,track2_0357,label_rubric;model;selective,3,6,balanced;dinov2;ensemble;label_selective;selective_v2;siglip2,calm->frustrated
True,High,alarmed,Negative,hold,0,False,False,Low,sad,Negative,False,False,track2_0480,model,1,3,dinov2;ensemble;siglip2,alarmed->sad
True,Low,tired,Negative,hold,0,False,False,Low,calm,Positive,False,False,track2_0505,model,1,3,dinov2;ensemble;siglip2,tired->calm
True,High,aroused,Positive,hold,0,False,False,High,alarmed,Negative,False,False,track2_0523,model,1,3,dinov2;ensemble;siglip2,aroused->alarmed
True,Low,bored,Negative,hold,0,False,False,Low,calm,Positive,False,False,track2_0563,model,1,3,dinov2;ensemble;siglip2,bored->calm
True,Low,sad,Negative,hold,0,False,False,Low,calm,Positive,False,False,track2_0618,model,1,3,dinov2;ensemble;siglip2,sad->calm
True,Low,bored,Negative,hold,0,False,False,Low,calm,Positive,False,False,track2_0632,model,1,3,dinov2;ensemble;siglip2,bored->calm
True,High,annoyed,Negative,hold,0,False,False,Low,calm,Positive,False,False,track2_0670,model,1,3,dinov2;ensemble;siglip2,annoyed->calm
True,Low,bored,Negative,hold,0,False,False,Low,calm,Positive,False,False,track2_0697,model,1,3,dinov2;ensemble;siglip2,bored->calm
