clip_cosine,current_arousal,current_emotion,current_valence,dhash_distance,duplicate_bucket,evidence_level,neighbor_count,public_description,public_member,public_request_id,salient_attributes,same_quadrant,sample_id,sources,target_arousal,target_emotion,target_valence,topk_majority_count,transition
0.9141,Low,content,Positive,99,,style_prior_only,10,,"Ukiyo-e/0073930_ToyotaHokkei-EIGHTEENOLDADDAGES,TAKINGGIFTSTOTHETEMPLE.jpg",Ukiyo-e_request-335,"composition,color",True,track2_0022,public_duplicate,Low,calm,Positive,8,content->calm
0.953587,Low,calm,Positive,34,strong_neighbor_ge095,same_series_style,12,"The image depicts a serene traditional Chinese landscape featuring a majestic pavilion set among ancient trees. In the background, misty mountains rise gracefully, enveloping the scene in tranquility with delicate calligraphy adorning the upper portion.",China_images/GetImagexBMJgdmwJLSxwIlBcXOXYpXb.jpeg,China_images_request-4639,"composition,color",True,track2_0023,public_duplicate,Low,calm,Positive,9,calm->calm
0.913746,Low,calm,Positive,99,,style_prior_only,10,,China_images/GetImagegAdmTCknUIWvwJhGqywAhRJS.jpeg,China_images_request-2596,"composition,color",True,track2_0024,public_duplicate,Low,calm,Positive,8,calm->calm
0.921085,Low,calm,Positive,99,,style_prior_only,10,,Realism/0087252_ThomasEakins-StandingFemaleNude.jpg,Realism_request-7123,"composition,color",True,track2_0025,public_duplicate,Low,content,Positive,1,calm->content
0.934374,Low,calm,Positive,99,,same_series_style,10,,China_images/GetImageclkHziliUlBlfbHEmvEozXbO.jpeg,China_images_request-2228,"composition,color",True,track2_0026,public_duplicate,Low,calm,Positive,9,calm->calm
0.868413,Low,content,Positive,99,,style_prior_only,10,,Realism/0150196_IvanTvorozhnikov-Thebirdhadflown.jpg,Realism_request-12715,"composition,color",True,track2_0027,public_duplicate,Low,content,Positive,1,content->content
0.947096,Low,calm,Positive,28,style_neighbor_review,same_series_style,11,,China_images/GetImageBTyRcOosCOORcVBDuoWtKtML.jpeg,China_images_request-2144,"composition,color",True,track2_0028,public_duplicate,Low,calm,Positive,11,calm->calm
0.911469,Low,calm,Positive,99,,style_prior_only,10,,China_images/FS-F1968.22_006.jpg,China_images_request-85,"composition,color",True,track2_0029,public_duplicate,Low,calm,Positive,10,calm->calm
0.887531,High,alarmed,Negative,99,,style_prior_only,10,,Impressionism/0190709_Paul-AlbertBesnard-Gettingup.jpg,Impressionism_request-12205,"composition,color",True,track2_0030,public_duplicate,High,frustrated,Negative,1,alarmed->frustrated
0.909876,Low,tired,Negative,99,,style_prior_only,10,,"Impressionism/0150518_WilliamMerrittChase-StillLife,Fish.jpg",Impressionism_request-9538,"composition,color",True,track2_0031,public_duplicate,Low,sad,Negative,5,tired->sad
0.912976,High,aroused,Positive,99,,style_prior_only,10,,Ukiyo-e/95142_482531.jpg,Ukiyo-e_request-986,"composition,color",False,track2_0032,public_duplicate,Low,calm,Positive,6,aroused->calm
0.922868,High,aroused,Positive,99,,style_prior_only,10,,Ukiyo-e/22194.jpg,Ukiyo-e_request-1383,"composition,color",False,track2_0033,public_duplicate,Low,calm,Positive,6,aroused->calm
0.919425,Low,calm,Positive,99,,style_prior_only,10,,China_images/GetImagevURAvawkfXVLMlFLSIJivkbn.jpeg,China_images_request-4498,"composition,color",True,track2_0034,public_duplicate,Low,calm,Positive,8,calm->calm
0.943518,Low,content,Positive,23,style_neighbor_review,same_series_style,11,,Ukiyo-e/1292_1175303.jpg,Ukiyo-e_request-1076,"composition,color",True,track2_0035,public_duplicate,Low,calm,Positive,11,content->calm
0.930954,Low,calm,Positive,99,,same_series_style,10,,China_images/FS-5719_03.jpg,China_images_request-157,"composition,color",True,track2_0036,public_duplicate,Low,calm,Positive,9,calm->calm
0.88035,Low,tired,Negative,99,,style_prior_only,10,,Romanticism/0164290_CarlMillner-ChiemgauerAlpenlandschaftmitAlmhütte.BlickaufdenHochstaufen.jpg,Romanticism_request-14510,"composition,color",False,track2_0037,public_duplicate,Low,calm,Positive,10,tired->calm
0.842656,Low,tired,Negative,99,,style_prior_only,10,,Early Renaissance/0095764_GentileBellini-PortraitofSultanMehmedII(FatihSultanMehmet).jpg,Early Renaissance_request-494,"composition,color",False,track2_0038,public_duplicate,Low,calm,Positive,9,tired->calm
0.885774,High,frustrated,Negative,99,,style_prior_only,10,,Cubism/0101806_JacquesVillon-PortraitofanActor(FélixBarré).jpg,Cubism_request-1367,"composition,color",True,track2_0039,public_duplicate,High,frustrated,Negative,2,frustrated->frustrated
0.900279,Low,calm,Positive,99,,style_prior_only,10,,China_images/FS-6050_04.jpg,China_images_request-197,"composition,color",True,track2_0040,public_duplicate,Low,calm,Positive,10,calm->calm
0.899481,High,frustrated,Negative,99,,style_prior_only,10,,Surrealism/0163410_Wols-Plantatuberosa.jpg,Surrealism_request-4410,"composition,color",False,track2_0041,public_duplicate,Low,calm,Positive,6,frustrated->calm
0.895199,Low,calm,Positive,99,,style_prior_only,10,,China_images/FS-7484_04.jpg,China_images_request-1000,"composition,color",True,track2_0042,public_duplicate,Low,calm,Positive,9,calm->calm
0.920812,Low,content,Positive,99,,style_prior_only,10,,Romanticism/0023281_IvanAivazovsky-WinterCaravanonRoad.jpg,Romanticism_request-1643,"composition,color",True,track2_0043,public_duplicate,Low,calm,Positive,9,content->calm
0.924561,Low,content,Positive,99,,style_prior_only,10,,China_images/GetImagewhhgRJjPVWQskPbCLHuNtCLi.jpeg,China_images_request-4560,"composition,color",True,track2_0044,public_duplicate,Low,calm,Positive,8,content->calm
0.926948,Low,calm,Positive,99,,style_prior_only,10,,China_images/FS-7451_01.jpg,China_images_request-77,"composition,color",True,track2_0045,public_duplicate,Low,calm,Positive,10,calm->calm
0.921171,Low,calm,Positive,99,,style_prior_only,10,,Ukiyo-e/69624_1159883.jpg,Ukiyo-e_request-1403,"composition,color",True,track2_0046,public_duplicate,Low,calm,Positive,9,calm->calm
0.94428,Low,calm,Positive,27,style_neighbor_review,same_series_style,11,,China_images/GetImagebljnaQcFQAcCBygdCcgAhdWw.jpeg,China_images_request-2111,"composition,color",True,track2_0047,public_duplicate,Low,calm,Positive,10,calm->calm
0.896286,Low,tired,Negative,99,,style_prior_only,10,,Mannerism (Late Renaissance)/0174856_HendrickGoltzius-FarneseHercules.jpg,Mannerism (Late Renaissance)_request-2145,"composition,color",False,track2_0048,public_duplicate,Low,calm,Positive,6,tired->calm
0.926416,Low,content,Positive,99,,style_prior_only,10,,Early Renaissance/0011887_AmbrogioBergognone-TheVirginandChild.jpg,Early Renaissance_request-24,"composition,color",True,track2_0049,public_duplicate,Low,calm,Positive,8,content->calm
0.914864,Low,calm,Positive,99,,style_prior_only,10,,"Mannerism (Late Renaissance)/0132954_Francescode'Rossi(FrancescoSalviati),Cecchino-DesignforaSaltCellarandTazza.jpg",Mannerism (Late Renaissance)_request-1613,"composition,color",True,track2_0050,public_duplicate,Low,calm,Positive,7,calm->calm
0.944919,Low,calm,Positive,38,style_neighbor_review,same_series_style,11,,China_images/GetImageZbkBbZuDMurWdKQSywmTqmgC.jpeg,China_images_request-1835,"composition,color",True,track2_0051,public_duplicate,Low,calm,Positive,10,calm->calm
0.916746,Low,content,Positive,99,,style_prior_only,10,,Ukiyo-e/1292_1175303.jpg,Ukiyo-e_request-1076,"composition,color",True,track2_0052,public_duplicate,Low,calm,Positive,9,content->calm
0.93907,Low,bored,Negative,99,,same_series_style,10,,"Abstract Art/0111449_BalcombGreene-Untitled,fromtheAmericanAbstractArtistsportfolio.jpg",Abstract Art_request-1078,"composition,color",False,track2_0053,public_duplicate,Low,calm,Positive,6,bored->calm
0.911018,Low,content,Positive,99,,style_prior_only,10,,China_images/GetImagekWGquqjCXaMSRFVwVmFUIkaV.jpeg,China_images_request-3190,"composition,color",True,track2_0054,public_duplicate,Low,calm,Positive,6,content->calm
0.956721,Low,calm,Positive,33,strong_neighbor_ge095,same_series_style,12,"The image showcases a serene landscape with mountains, a river, and sparse trees. A misty atmosphere envelops the scene, conveying a sense of tranquility. Delicate brushwork and subtle ink tones create a harmonious, contemplative setting.",China_images/GetImageYzLfsJJHcnrSQMesBucYySSx.jpeg,China_images_request-1826,"composition,color",True,track2_0055,public_duplicate,Low,calm,Positive,11,calm->calm
0.829273,Low,tired,Negative,99,,style_prior_only,10,,Baroque/0079387_MichielvanMusscher-PortraitofAleksandrDanilovichMenshikov.jpg,Baroque_request-3435,"composition,color",False,track2_0056,public_duplicate,Low,content,Positive,2,tired->content
0.84814,Low,content,Positive,99,,style_prior_only,10,,Impressionism/0077931_IsaacIsraels-Sewingschool.jpg,Impressionism_request-4816,"composition,color",True,track2_0057,public_duplicate,Low,calm,Positive,4,content->calm
0.924709,Low,content,Positive,99,,style_prior_only,10,,Realism/0066862_JulesBreton-Summerlandscapewithpeasantsandcows.jpg,Realism_request-5291,"composition,color",True,track2_0058,public_duplicate,Low,calm,Positive,10,content->calm
0.926252,Low,content,Positive,99,,style_prior_only,10,,China_images/GetImagepwtbuOxKuZyHrnJSWGMaeQoB.jpeg,China_images_request-3779,"composition,color",True,track2_0059,public_duplicate,Low,calm,Positive,9,content->calm
0.902995,Low,calm,Positive,99,,style_prior_only,10,,Romanticism/0094095_ThomasBirch-Seascape.jpg,Romanticism_request-8060,"composition,color",True,track2_0060,public_duplicate,Low,calm,Positive,9,calm->calm
0.933066,Low,calm,Positive,99,,same_series_style,10,,China_images/GetImageySYPVbQGYukIiLyDvPDcVnjU.jpeg,China_images_request-1791,"composition,color",True,track2_0061,public_duplicate,Low,calm,Positive,10,calm->calm
0.989406,Low,calm,Positive,6,visual_duplicate_likely,exact_same_work,13,,China_images/GetImagerrqcYumKYophOJxIsjirNNhZ.jpeg,China_images_request-3982,"composition,color",True,track2_0062,public_duplicate,Low,calm,Positive,12,calm->calm
0.887848,Low,tired,Negative,99,,style_prior_only,10,,Realism/0161420_LéonAugustinLhermitte-Thegrandmother.jpg,Realism_request-13731,"composition,color",False,track2_0063,public_duplicate,Low,content,Positive,5,tired->content
0.932767,Low,calm,Positive,99,,same_series_style,10,,China_images/GetImagedqyQPJzrpHCCbcvaIyQqyBFI.jpeg,China_images_request-2359,"composition,color",True,track2_0064,public_duplicate,Low,calm,Positive,8,calm->calm
0.888861,Low,calm,Positive,99,,style_prior_only,10,,China_images/GetImagegjJvUzCSpxdgQfCmdEplRasz.jpeg,China_images_request-2641,"composition,color",True,track2_0065,public_duplicate,Low,calm,Positive,10,calm->calm
0.937829,Low,calm,Positive,99,,same_series_style,10,,Ukiyo-e/97865_1260120.jpg,Ukiyo-e_request-1005,"composition,color",True,track2_0066,public_duplicate,Low,calm,Positive,9,calm->calm
0.942208,Low,content,Positive,38,style_neighbor_review,same_series_style,11,,China_images/GetImageymJidMJfAtxBbzawiDnOpRUc.jpeg,China_images_request-1764,"composition,color",True,track2_0067,public_duplicate,Low,calm,Positive,8,content->calm
0.8874,Low,bored,Negative,99,,style_prior_only,10,,Abstract Art/0116779_EdwardWadsworth-ViewofaTown.jpg,Abstract Art_request-1129,"composition,color",False,track2_0068,public_duplicate,Low,calm,Positive,6,bored->calm
0.939275,Low,calm,Positive,99,,same_series_style,10,,China_images/GetImageUnCgNWNxyekGrIYGCzdDbRiT.jpeg,China_images_request-4344,"composition,color",True,track2_0069,public_duplicate,Low,calm,Positive,9,calm->calm
0.9001,High,aroused,Positive,99,,style_prior_only,10,,Cubism/0103210_MarioPrassinos-Cafetiere.jpg,Cubism_request-1385,"composition,color",False,track2_0070,public_duplicate,High,frustrated,Negative,3,aroused->frustrated
0.909159,Low,bored,Negative,99,,style_prior_only,10,,Cubism/0103210_MarioPrassinos-Cafetiere.jpg,Cubism_request-1385,"composition,color",False,track2_0071,public_duplicate,High,frustrated,Negative,3,bored->frustrated
0.917243,Low,calm,Positive,99,,style_prior_only,10,,China_images/GetImageKftOifKUofARmAeHpiUZqaJy.jpeg,China_images_request-3116,"composition,color",True,track2_0072,public_duplicate,Low,calm,Positive,7,calm->calm
0.927852,Low,calm,Positive,99,,style_prior_only,10,,China_images/GetImageVpvtGvscnpgTHTOgJERBNxuu.jpeg,China_images_request-4477,"composition,color",True,track2_0073,public_duplicate,Low,calm,Positive,10,calm->calm
0.913616,Low,calm,Positive,99,,style_prior_only,10,,China_images/FS-6375_01.jpg,China_images_request-582,"composition,color",True,track2_0074,public_duplicate,Low,calm,Positive,8,calm->calm
0.854459,Low,calm,Positive,99,,style_prior_only,10,,China_images/FS-6542_03.jpg,China_images_request-1206,"composition,color",True,track2_0075,public_duplicate,Low,calm,Positive,9,calm->calm
0.896356,Low,content,Positive,99,,style_prior_only,10,,Ukiyo-e/91361_458016.jpg,Ukiyo-e_request-1549,"composition,color",True,track2_0076,public_duplicate,Low,calm,Positive,8,content->calm
0.895833,Low,calm,Positive,99,,style_prior_only,10,,High Renaissance/0149543_AmbrogioBergognone-SaintPeter.jpg,High Renaissance_request-1285,"composition,color",True,track2_0077,public_duplicate,Low,calm,Positive,10,calm->calm
0.892776,Low,calm,Positive,99,,style_prior_only,10,,Ukiyo-e/dscn2057.jpg,Ukiyo-e_request-2056,"composition,color",True,track2_0078,public_duplicate,Low,content,Positive,1,calm->content
0.872331,Low,calm,Positive,99,,style_prior_only,10,,Contemporary Realism/0157100_NormanAckroyd-1stMillbankPrint.jpg,Contemporary Realism_request-1286,"composition,color",True,track2_0079,public_duplicate,Low,calm,Positive,7,calm->calm
0.891219,Low,calm,Positive,99,,style_prior_only,10,,Ukiyo-e/0110252_Hiroshige-87.BentenShrineattheInokashiraPond.jpg,Ukiyo-e_request-530,"composition,color",True,track2_0080,public_duplicate,Low,calm,Positive,10,calm->calm
0.93402,Low,calm,Positive,99,,same_series_style,10,,Ukiyo-e/0065158_KitagawaUtamaro-Thefourvirtues.jpg,Ukiyo-e_request-300,"composition,color",True,track2_0081,public_duplicate,Low,calm,Positive,9,calm->calm
0.930848,Low,calm,Positive,99,,same_series_style,10,,China_images/GetImageJOMZRmBXDzmWbuZQjtgzMNGS.jpeg,China_images_request-3031,"composition,color",True,track2_0082,public_duplicate,Low,calm,Positive,9,calm->calm
0.928923,Low,calm,Positive,99,,style_prior_only,10,,China_images/GetImagebySNFzCSnONFpHqOTKJFZkWc.jpeg,China_images_request-2163,"composition,color",True,track2_0083,public_duplicate,Low,calm,Positive,8,calm->calm
0.915332,Low,calm,Positive,99,,style_prior_only,10,,Ukiyo-e/91319_457764.jpg,Ukiyo-e_request-1542,"composition,color",True,track2_0084,public_duplicate,Low,calm,Positive,8,calm->calm
0.975767,Low,content,Positive,7,visual_duplicate_likely,exact_same_work,13,,China_images/GetImageMYGZhToCiUHrxgrfnvEqvoAN.jpeg,China_images_request-3438,"composition,color",True,track2_0085,public_duplicate,Low,content,Positive,7,content->content
0.873442,High,alarmed,Negative,99,,style_prior_only,10,,Realism/0152845_CharlesJacque-Lavue.jpg,Realism_request-12945,"composition,color",False,track2_0086,public_duplicate,Low,calm,Positive,4,alarmed->calm
0.916445,Low,content,Positive,99,,style_prior_only,10,,Ukiyo-e/18122.jpg,Ukiyo-e_request-1220,"composition,color",True,track2_0087,public_duplicate,Low,calm,Positive,10,content->calm
0.870206,Low,calm,Positive,99,,style_prior_only,10,,China_images/FS-5717_12.jpg,China_images_request-970,"composition,color",True,track2_0088,public_duplicate,Low,calm,Positive,9,calm->calm
0.909133,Low,calm,Positive,99,,style_prior_only,10,,China_images/GetImageISLqCMjCovRCwNdLCJQujOdY.jpeg,China_images_request-2923,"composition,color",True,track2_0089,public_duplicate,Low,calm,Positive,10,calm->calm
0.903256,Low,calm,Positive,99,,style_prior_only,10,,Sōsaku hanga/0101667_KoshiroOnchi-PoèmeNo.7LandscapeofMay.jpg,Sōsaku hanga_request-220,"composition,color",True,track2_0090,public_duplicate,Low,calm,Positive,6,calm->calm
0.84209,Low,content,Positive,99,,style_prior_only,10,,Baroque/0016105_FerdinandBol-PortraitofaWoman.jpg,Baroque_request-489,"composition,color",True,track2_0091,public_duplicate,Low,content,Positive,4,content->content
0.94808,Low,calm,Positive,14,style_neighbor_review,same_series_style,11,,China_images/GetImagejOfejBQMoSETrCBWHbKfncCo.jpeg,China_images_request-3028,"composition,color",True,track2_0092,public_duplicate,Low,content,Positive,3,calm->content
0.936878,Low,calm,Positive,99,,same_series_style,10,,China_images/FS-7410_50.jpg,China_images_request-359,"composition,color",True,track2_0093,public_duplicate,Low,calm,Positive,10,calm->calm
0.951509,Low,calm,Positive,24,strong_neighbor_ge095,same_series_style,12,"The image presents a classical Chinese landscape painting with towering cliffs and elegant trees. Figures in traditional attire engage in leisurely activities amidst a serene natural setting, evoking harmony between humanity and nature.",China_images/GetImageIUDFKXbupVSutjNWRoemimDt.jpeg,China_images_request-2932,"composition,color",True,track2_0094,public_duplicate,Low,calm,Positive,11,calm->calm
0.908732,High,aroused,Positive,99,,style_prior_only,10,,Cubism/0089610_CarlosMerida-LAMÁSCARADEHUNCAME.jpg,Cubism_request-1193,"composition,color",True,track2_0095,public_duplicate,High,excited,Positive,3,aroused->excited
0.930759,High,frustrated,Negative,99,,style_prior_only,10,,Ukiyo-e/0060786_TōshūsaiSharaku-BandōMitsugorōIIasIshiiGenzōinthePlayHanaAyameBunrokuSoga.jpg,Ukiyo-e_request-283,"composition,color",True,track2_0096,public_duplicate,High,alarmed,Negative,1,frustrated->alarmed
0.955065,Low,calm,Positive,36,strong_neighbor_ge095,same_series_style,12,"The painting portrays a serene mountain landscape. Towering rocky cliffs envelop the scene, with trees gracefully lining the slopes. A small dwelling nestles amid the rugged terrain, intricately detailed, giving an inviting feel amidst nature's grandeur.",China_images/FS-5771_04.jpg,China_images_request-18,"composition,color",True,track2_0097,public_duplicate,Low,calm,Positive,12,calm->calm
0.900024,Low,sad,Negative,99,,style_prior_only,10,,Realism/0092059_HenriFantin-Latour-Untitled.jpg,Realism_request-7576,"composition,color",False,track2_0098,public_duplicate,Low,content,Positive,3,sad->content
0.936363,Low,content,Positive,99,,same_series_style,10,,Korea/duk001155-000-0001.jpg,Korea_request-103,"composition,color",True,track2_0099,public_duplicate,Low,calm,Positive,9,content->calm
0.933297,Low,calm,Positive,99,,same_series_style,10,,Ukiyo-e/89704_446573.jpg,Ukiyo-e_request-1475,"composition,color",True,track2_0100,public_duplicate,Low,calm,Positive,10,calm->calm
0.859988,Low,content,Positive,99,,style_prior_only,10,,Realism/0093806_FerdinandHodler-Thecobblerbythewindow.jpg,Realism_request-7749,"composition,color",True,track2_0101,public_duplicate,Low,content,Positive,2,content->content
0.943033,Low,calm,Positive,29,style_neighbor_review,same_series_style,11,,China_images/GetImageckPlRsoNTDNqhMizjlgFepZh.jpeg,China_images_request-2223,"composition,color",True,track2_0102,public_duplicate,Low,calm,Positive,10,calm->calm
0.93006,Low,content,Positive,99,,same_series_style,10,,Ukiyo-e/110607_596291.jpg,Ukiyo-e_request-1636,"composition,color",True,track2_0103,public_duplicate,Low,calm,Positive,8,content->calm
0.898311,Low,calm,Positive,99,,style_prior_only,10,,Ukiyo-e/91319_457764.jpg,Ukiyo-e_request-1542,"composition,color",True,track2_0104,public_duplicate,Low,calm,Positive,10,calm->calm
0.881552,Low,calm,Positive,99,,style_prior_only,10,,Impressionism/0131709_EugeneBoudin-AtlanticcoastnearBenerville.jpg,Impressionism_request-8277,"composition,color",True,track2_0105,public_duplicate,Low,calm,Positive,7,calm->calm
0.891824,High,alarmed,Negative,99,,style_prior_only,10,,Ukiyo-e/dscn1571.jpg,Ukiyo-e_request-1741,"composition,color",False,track2_0106,public_duplicate,High,excited,Positive,1,alarmed->excited
0.864221,High,alarmed,Negative,99,,style_prior_only,10,,Ukiyo-e/0176169_UtagawaKunisada-Tiger.jpg,Ukiyo-e_request-849,"composition,color",False,track2_0107,public_duplicate,High,excited,Positive,1,alarmed->excited
0.922111,Low,calm,Positive,99,,style_prior_only,10,,Mannerism (Late Renaissance)/0111462_CarloUrbino-TheAdorationoftheShepherds.jpg,Mannerism (Late Renaissance)_request-1337,"composition,color",True,track2_0108,public_duplicate,Low,calm,Positive,4,calm->calm
0.919809,Low,calm,Positive,99,,style_prior_only,10,,China_images/GetImagevtGTVDGXZsKEfMkSSRwqTLWb.jpeg,China_images_request-4491,"composition,color",True,track2_0109,public_duplicate,Low,calm,Positive,10,calm->calm
0.956397,Low,calm,Positive,24,strong_neighbor_ge095,same_series_style,12,"The image depicts a serene landscape with towering rocky mountains, wispy clouds, and a traditional pavilion nestled among trees. The scene is enveloped in a muted, earthy palette, creating a tranquil and timeless atmosphere.",China_images/GetImagedLCYPVoRPZLDLUFLHFLWnjpr.jpeg,China_images_request-2329,"composition,color",True,track2_0110,public_duplicate,Low,calm,Positive,12,calm->calm
0.906238,Low,content,Positive,99,,style_prior_only,10,,Ukiyo-e/dscn2042.jpg,Ukiyo-e_request-2044,"composition,color",True,track2_0111,public_duplicate,Low,calm,Positive,9,content->calm
0.93711,Low,calm,Positive,99,,same_series_style,10,,China_images/FS-7504_41.jpg,China_images_request-973,"composition,color",True,track2_0112,public_duplicate,Low,calm,Positive,8,calm->calm
0.873276,Low,bored,Negative,99,,style_prior_only,10,,"Impressionism/0120920_IvanAlbright-NearEromsoe,Norway.jpg",Impressionism_request-7570,"composition,color",True,track2_0113,public_duplicate,Low,sad,Negative,1,bored->sad
0.934609,High,frustrated,Negative,99,,style_prior_only,10,,Abstract Expressionism/0186413_GeneDavis-Autumn.jpg,Abstract Expressionism_request-3915,"composition,color",True,track2_0114,public_duplicate,High,frustrated,Negative,2,frustrated->frustrated
0.938996,Low,calm,Positive,99,,style_prior_only,10,,China_images/GetImagejOfejBQMoSETrCBWHbKfncCo.jpeg,China_images_request-3028,"composition,color",True,track2_0115,public_duplicate,Low,content,Positive,3,calm->content
0.919469,Low,calm,Positive,99,,style_prior_only,10,,"Ukiyo-e/0119859_ToyotaHokkei-AGoodTimetoOpentheStorehouse(Kurabikiyoshi),fromtheseriesSeriesfortheHanazonoGroup(Hanazonobantsuzuki).jpg",Ukiyo-e_request-572,"composition,color",True,track2_0116,public_duplicate,Low,calm,Positive,10,calm->calm
0.911226,Low,calm,Positive,99,,style_prior_only,10,,China_images/GetImageTDkZmgdXKJgDtWGroeioYbXn.jpeg,China_images_request-4170,"composition,color",True,track2_0117,public_duplicate,Low,calm,Positive,8,calm->calm
0.923797,Low,calm,Positive,99,,style_prior_only,10,,China_images/GetImagerwFoIsHXqlLIAJUUhTOAmOid.jpeg,China_images_request-4002,"composition,color",True,track2_0118,public_duplicate,Low,content,Positive,2,calm->content
0.92302,Low,calm,Positive,99,,style_prior_only,10,,China_images/GetImageEgdfVwblPEHauaQpmbYlzbdY.jpeg,China_images_request-2424,"composition,color",True,track2_0119,public_duplicate,Low,calm,Positive,9,calm->calm
