all_sources,current_arousal,current_emotion,current_label_issue_count,current_valence,exact_duplicate,failed_transition_count,max_confidence,model_sources,model_support_score,model_vote_count,near_duplicate,proposed_arousal,proposed_emotion,proposed_valence,public_duplicate_support_score,public_style_support_score,rationale,same_arousal,same_valence,sample_id,support_score,transition,v19_decision,v19_reasons,v19_score
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,calm,0,Positive,False,0,0.544417,"clip,dinov2,siglip2",1.674921,3,False,High,aroused,Positive,0.0,0.356853,,False,True,track2_0665,2.031775,calm->aroused,accept_candidate,meets_v19_thresholds,2.261775
"dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,0,0.621559,"dinov2,siglip2",1.455828,2,False,Low,calm,Positive,0.0,0.569746,,True,False,track2_0747,2.025574,tired->calm,accept_candidate,meets_v19_thresholds,2.255574
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,3,0.578465,"clip,dinov2,siglip2",1.616567,3,False,Low,sad,Negative,0.0,0.499795,,True,True,track2_0179,2.116362,tired->sad,accept_candidate,meets_v19_thresholds,2.226362
"clip,dinov2,public_clean,public_inclusive,siglip2",High,alarmed,0,Negative,False,0,0.543856,"clip,dinov2,siglip2",1.419078,3,False,Low,content,Positive,0.0,0.541437,,False,False,track2_0646,1.960515,alarmed->content,accept_candidate,meets_v19_thresholds,2.190515
"clip,dinov2,public_clean,public_inclusive",High,aroused,0,Positive,False,0,0.712847,"clip,dinov2",1.562311,2,False,High,annoyed,Negative,0.0,0.398107,,True,False,track2_0602,1.960418,aroused->annoyed,accept_candidate,meets_v19_thresholds,2.190418
"dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,0,0.807491,"dinov2,siglip2",1.543011,2,False,Low,content,Positive,0.0,0.416161,,True,False,track2_0215,1.959172,tired->content,accept_candidate,meets_v19_thresholds,2.189172
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,sad,0,Negative,False,0,0.545664,"clip,dinov2,siglip2",1.426785,3,False,Low,calm,Positive,0.0,0.52188,,True,False,track2_0669,1.948665,sad->calm,accept_candidate,meets_v19_thresholds,2.178665
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,calm,0,Positive,False,0,0.745301,"clip,dinov2,siglip2",1.67613,3,False,High,aroused,Positive,0.0,0.249043,,False,True,track2_0457,1.925173,calm->aroused,accept_candidate,meets_v19_thresholds,2.155173
"clip,dinov2,public_clean,public_inclusive,siglip2",High,happy,0,Positive,False,3,0.549317,"clip,dinov2,siglip2",1.683674,3,False,High,excited,Positive,0.0,0.357904,,True,True,track2_0635,2.041578,happy->excited,accept_candidate,meets_v19_thresholds,2.151578
"dinov2,public_clean,public_inclusive,siglip2",High,excited,0,Positive,False,1,0.675357,"dinov2,siglip2",1.418338,2,False,High,happy,Positive,0.0,0.538812,,True,True,track2_0263,1.95715,excited->happy,accept_candidate,meets_v19_thresholds,2.14715
"clip,dinov2,public_clean,public_inclusive,siglip2",High,happy,0,Positive,False,0,0.554667,"clip,dinov2,siglip2",1.473236,3,False,Low,calm,Positive,0.0,0.413774,,False,True,track2_0431,1.88701,happy->calm,accept_candidate,meets_v19_thresholds,2.11701
"clip,public_clean,public_inclusive,siglip2",High,alarmed,0,Negative,False,0,0.653745,"clip,siglip2",1.410832,2,False,Low,sad,Negative,0.0,0.468605,,False,True,track2_0666,1.879437,alarmed->sad,accept_candidate,meets_v19_thresholds,2.109437
"clip,dinov2,public_clean,public_inclusive,siglip2",High,alarmed,0,Negative,False,0,0.462593,"clip,dinov2,siglip2",1.45544,3,False,High,frustrated,Negative,0.0,0.346449,,True,True,track2_0412,1.801889,alarmed->frustrated,accept_candidate,meets_v19_thresholds,2.031889
"clip,public_clean,public_inclusive,siglip2",High,alarmed,0,Negative,False,0,0.686982,"clip,siglip2",1.23273,2,False,Low,calm,Positive,0.0,0.567834,,False,False,track2_0923,1.800564,alarmed->calm,accept_candidate,meets_v19_thresholds,2.030564
"clip,dinov2,public_clean,public_inclusive,siglip2",High,aroused,0,Positive,False,0,0.541944,"clip,dinov2,siglip2",1.508771,3,False,Low,calm,Positive,0.0,0.280978,,False,True,track2_0458,1.789748,aroused->calm,accept_candidate,meets_v19_thresholds,2.019748
"clip,dinov2,public_clean,public_inclusive,siglip2",High,alarmed,0,Negative,False,0,0.573197,"clip,dinov2,siglip2",1.212019,3,False,Low,content,Positive,0.0,0.573197,,False,False,track2_0753,1.785216,alarmed->content,accept_candidate,meets_v19_thresholds,2.015216
"clip,dinov2,public_clean,public_inclusive,siglip2",High,alarmed,0,Negative,False,0,0.532662,"clip,dinov2,siglip2",1.456301,3,False,High,aroused,Positive,0.0,0.324529,,True,False,track2_0107,1.78083,alarmed->aroused,accept_candidate,meets_v19_thresholds,2.01083
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,0,0.46726,"clip,dinov2,siglip2",1.402942,3,False,Low,calm,Positive,0.0,0.357125,,True,False,track2_0038,1.760067,tired->calm,accept_candidate,meets_v19_thresholds,1.990067
"clip,public_clean,public_inclusive,siglip2",Low,calm,0,Positive,False,0,0.72836,"clip,siglip2",1.320337,2,False,Low,sad,Negative,0.0,0.415589,,True,False,track2_0591,1.735926,calm->sad,accept_candidate,meets_v19_thresholds,1.965926
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,3,0.458364,"clip,dinov2,siglip2",1.449876,3,False,Low,sad,Negative,0.0,0.376186,,True,True,track2_0221,1.826062,tired->sad,accept_candidate,meets_v19_thresholds,1.936062
"clip,public_clean,public_inclusive,public_near_public_duplicate,siglip2",High,aroused,0,Positive,False,0,0.954631,"clip,siglip2",0.49765,2,True,Low,calm,Positive,0.954631,0.223716,near_public_duplicate supports calm | near_public_duplicate supports calm,False,True,track2_0873,1.675997,aroused->calm,accept_candidate,meets_v19_thresholds,1.905997
"clip,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,3,0.757149,"clip,siglip2",1.365435,2,False,Low,sad,Negative,0.0,0.411769,,True,True,track2_0567,1.777204,tired->sad,accept_candidate,meets_v19_thresholds,1.887204
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.788351,"clip,dinov2,siglip2",2.674845,3,False,Low,calm,Positive,0.0,0.782795,,True,True,track2_0765,3.45764,content->calm,hold,official_failed_transition_penalty,2.88764
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.788968,"clip,dinov2,siglip2",2.674829,3,False,Low,calm,Positive,0.0,0.778564,,True,True,track2_0651,3.453393,content->calm,hold,official_failed_transition_penalty,2.883393
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.865907,"clip,dinov2,siglip2",2.597926,3,False,Low,calm,Positive,0.0,0.85504,,True,True,track2_0956,3.452966,content->calm,hold,official_failed_transition_penalty,2.882966
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.830776,"clip,dinov2,siglip2",2.618962,3,False,Low,calm,Positive,0.0,0.762277,,True,True,track2_0410,3.381239,content->calm,hold,official_failed_transition_penalty,2.811239
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.78318,"clip,dinov2,siglip2",2.663235,3,False,Low,calm,Positive,0.0,0.709141,,True,True,track2_0044,3.372376,content->calm,hold,official_failed_transition_penalty,2.802376
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.783169,"clip,dinov2,siglip2",2.617604,3,False,Low,calm,Positive,0.0,0.750502,,True,True,track2_0880,3.368106,content->calm,hold,official_failed_transition_penalty,2.798106
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.749026,"clip,dinov2,siglip2",2.586274,3,False,Low,calm,Positive,0.0,0.719396,,True,True,track2_0942,3.30567,content->calm,hold,official_failed_transition_penalty,2.73567
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.755085,"clip,dinov2,siglip2",2.551767,3,False,Low,calm,Positive,0.0,0.723905,,True,True,track2_0580,3.275672,content->calm,hold,official_failed_transition_penalty,2.705672
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.779179,"clip,dinov2,siglip2",2.523067,3,False,Low,calm,Positive,0.0,0.744238,,True,True,track2_0704,3.267305,content->calm,hold,official_failed_transition_penalty,2.697305
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.806466,"clip,dinov2,siglip2",2.629418,3,False,Low,calm,Positive,0.0,0.621628,,True,True,track2_0718,3.251046,content->calm,hold,official_failed_transition_penalty,2.681046
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.740614,"clip,dinov2,siglip2",2.508492,3,False,Low,calm,Positive,0.0,0.740614,,True,True,track2_0515,3.249106,content->calm,hold,official_failed_transition_penalty,2.679106
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.776759,"clip,dinov2,siglip2",2.508392,3,False,Low,calm,Positive,0.0,0.710486,,True,True,track2_0941,3.218878,content->calm,hold,official_failed_transition_penalty,2.648878
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.763472,"clip,dinov2,siglip2",2.475075,3,False,Low,calm,Positive,0.0,0.702784,,True,True,track2_0270,3.177859,content->calm,hold,official_failed_transition_penalty,2.607859
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.717836,"clip,dinov2,siglip2",2.392913,3,False,Low,calm,Positive,0.0,0.717836,,True,True,track2_0280,3.110749,content->calm,hold,official_failed_transition_penalty,2.540749
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.715888,"clip,dinov2,siglip2",2.420368,3,False,Low,calm,Positive,0.0,0.668897,,True,True,track2_0809,3.089265,content->calm,hold,official_failed_transition_penalty,2.519265
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.745742,"clip,dinov2,siglip2",2.346549,3,False,Low,calm,Positive,0.0,0.72536,,True,True,track2_0443,3.071909,content->calm,hold,official_failed_transition_penalty,2.501909
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.744333,"clip,dinov2,siglip2",2.304232,3,False,Low,calm,Positive,0.0,0.724092,,True,True,track2_0169,3.028323,content->calm,hold,official_failed_transition_penalty,2.458323
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.793806,"clip,dinov2,siglip2",2.3847,3,False,Low,calm,Positive,0.0,0.627619,,True,True,track2_0099,3.012319,content->calm,hold,official_failed_transition_penalty,2.442319
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.764003,"clip,dinov2,siglip2",2.413591,3,False,Low,calm,Positive,0.0,0.595364,,True,True,track2_0996,3.008955,content->calm,hold,official_failed_transition_penalty,2.438955
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.757141,"clip,dinov2,siglip2",2.48509,3,False,Low,calm,Positive,0.0,0.519426,,True,True,track2_0455,3.004516,content->calm,hold,official_failed_transition_penalty,2.434516
"clip,dinov2,gemini35,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.85,"clip,dinov2,gemini35,siglip2",2.551428,4,False,Low,calm,Positive,0.0,0.446613,"The gentle poses of the women looking out over the water and the soft, muted colors evoke a sense of quiet, peaceful stillness best described as calm.",True,True,track2_0207,2.998041,content->calm,hold,official_failed_transition_penalty,2.428041
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.727494,"clip,dinov2,siglip2",2.329194,3,False,Low,calm,Positive,0.0,0.65956,,True,True,track2_0832,2.988754,content->calm,hold,official_failed_transition_penalty,2.418754
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.750277,"clip,dinov2,siglip2",2.357018,3,False,Low,calm,Positive,0.0,0.605255,,True,True,track2_0557,2.962273,content->calm,hold,official_failed_transition_penalty,2.392273
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.69676,"clip,dinov2,siglip2",2.28543,3,False,Low,calm,Positive,0.0,0.669083,,True,True,track2_0800,2.954513,content->calm,hold,official_failed_transition_penalty,2.384513
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.752131,"clip,dinov2,siglip2",2.270185,3,False,Low,calm,Positive,0.0,0.609278,,True,True,track2_0087,2.879463,content->calm,hold,official_failed_transition_penalty,2.309463
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.696334,"clip,dinov2,siglip2",2.193453,3,False,Low,calm,Positive,0.0,0.636774,,True,True,track2_0481,2.830227,content->calm,hold,official_failed_transition_penalty,2.260227
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.712295,"clip,dinov2,siglip2",2.209011,3,False,Low,calm,Positive,0.0,0.614399,,True,True,track2_0678,2.82341,content->calm,hold,official_failed_transition_penalty,2.25341
"clip,dinov2,gemini35,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.85,"clip,dinov2,gemini35,siglip2",2.395604,4,False,Low,calm,Positive,0.0,0.39335,"The serene landscape featuring Mount Fuji, the still water, and the muted, earthy color palette evoke a sense of calm stillness rather than active contentment.",True,True,track2_0269,2.788954,content->calm,hold,official_failed_transition_penalty,2.218954
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.703785,"clip,dinov2,siglip2",2.099376,3,False,Low,calm,Positive,0.0,0.639139,,True,True,track2_0335,2.738516,content->calm,hold,official_failed_transition_penalty,2.168516
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.782145,"clip,dinov2,siglip2",1.982932,3,False,Low,calm,Positive,0.0,0.739249,,True,True,track2_0830,2.722182,content->calm,hold,official_failed_transition_penalty,2.152182
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.650887,"clip,dinov2,siglip2",2.05968,3,False,Low,calm,Positive,0.0,0.627748,,True,True,track2_0451,2.687428,content->calm,hold,official_failed_transition_penalty,2.117428
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.692411,"clip,dinov2,siglip2",2.071635,3,False,Low,calm,Positive,0.0,0.591704,,True,True,track2_0396,2.663339,content->calm,hold,official_failed_transition_penalty,2.093339
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.687987,"clip,dinov2,siglip2",2.037142,3,False,Low,calm,Positive,0.0,0.572306,,True,True,track2_0442,2.609448,content->calm,hold,official_failed_transition_penalty,2.039448
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.704227,"clip,dinov2,siglip2",2.041333,3,False,Low,calm,Positive,0.0,0.556703,,True,True,track2_0681,2.598036,content->calm,hold,official_failed_transition_penalty,2.028036
"clip,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.781004,"clip,siglip2",1.827214,2,False,Low,calm,Positive,0.0,0.730978,,True,True,track2_0944,2.558192,content->calm,hold,official_failed_transition_penalty,1.988192
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.641051,"clip,dinov2,siglip2",1.951445,3,False,Low,calm,Positive,0.0,0.605294,,True,True,track2_0781,2.556739,content->calm,hold,official_failed_transition_penalty,1.986739
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.721007,"clip,dinov2,siglip2",1.914395,3,False,Low,calm,Positive,0.0,0.640491,,True,True,track2_0052,2.554886,content->calm,hold,official_failed_transition_penalty,1.984886
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.643132,"clip,dinov2,siglip2",1.951327,3,False,Low,calm,Positive,0.0,0.592669,,True,True,track2_0899,2.543996,content->calm,hold,official_failed_transition_penalty,1.973996
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.676246,"clip,dinov2,siglip2",2.01325,3,False,Low,calm,Positive,0.0,0.526111,,True,True,track2_0020,2.539362,content->calm,hold,official_failed_transition_penalty,1.969362
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.637835,"clip,dinov2,siglip2",1.932643,3,False,Low,calm,Positive,0.0,0.560192,,True,True,track2_0746,2.492835,content->calm,hold,official_failed_transition_penalty,1.922835
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.658936,"clip,dinov2,siglip2",1.977662,3,False,Low,calm,Positive,0.0,0.515069,,True,True,track2_0517,2.492731,content->calm,hold,official_failed_transition_penalty,1.922731
"clip,gemini35,public_clean,siglip2",Low,content,0,Positive,False,20,0.85,"clip,gemini35,siglip2",2.023733,3,False,Low,calm,Positive,0.0,0.465575,"The quiet, static arrangement of scholarly objects and the muted, earthy color palette evoke a profound sense of calm stillness and meditative peace rather than active contentment.",True,True,track2_0777,2.489308,content->calm,hold,official_failed_transition_penalty,1.919308
