arousal,count,emotion,share,style,style_count,valence
Low,3,bored,0.007317,Figurative Expressionism,410,Negative
High,2,aroused,0.004878,Figurative Expressionism,410,Positive
Low,1,tired,0.002439,Figurative Expressionism,410,Negative
Low,28,calm,0.875,Gongbi,32,Positive
Low,4,content,0.125,Gongbi,32,Positive
Low,252,calm,0.495088,Hard Edge Painting,509,Positive
High,215,excited,0.422397,Hard Edge Painting,509,Positive
Low,31,content,0.060904,Hard Edge Painting,509,Positive
High,4,aroused,0.007859,Hard Edge Painting,509,Positive
High,2,alarmed,0.003929,Hard Edge Painting,509,Negative
High,2,happy,0.003929,Hard Edge Painting,509,Positive
Low,2,sad,0.003929,Hard Edge Painting,509,Negative
Low,1,tired,0.001965,Hard Edge Painting,509,Negative
Low,1027,calm,0.673443,High Renaissance,1525,Positive
Low,210,content,0.137705,High Renaissance,1525,Positive
High,115,excited,0.07541,High Renaissance,1525,Positive
Low,80,sad,0.052459,High Renaissance,1525,Negative
High,42,alarmed,0.027541,High Renaissance,1525,Negative
High,39,frustrated,0.025574,High Renaissance,1525,Negative
High,3,aroused,0.001967,High Renaissance,1525,Positive
Low,3,bored,0.001967,High Renaissance,1525,Negative
Low,3,tired,0.001967,High Renaissance,1525,Negative
High,2,annoyed,0.001311,High Renaissance,1525,Negative
High,1,happy,0.000656,High Renaissance,1525,Positive
Low,7886,calm,0.67195,Impressionism,11736,Positive
Low,2327,content,0.198279,Impressionism,11736,Positive
High,876,excited,0.074642,Impressionism,11736,Positive
Low,334,sad,0.028459,Impressionism,11736,Negative
High,85,happy,0.007243,Impressionism,11736,Positive
High,84,alarmed,0.007157,Impressionism,11736,Negative
High,81,frustrated,0.006902,Impressionism,11736,Negative
High,22,aroused,0.001875,Impressionism,11736,Positive
Low,22,tired,0.001875,Impressionism,11736,Negative
High,9,annoyed,0.000767,Impressionism,11736,Negative
Low,5,bored,0.000426,Impressionism,11736,Negative
Low,5,glad,0.000426,Impressionism,11736,Positive
Low,584,calm,0.6193,India_art,943,Positive
Low,184,content,0.195122,India_art,943,Positive
High,160,excited,0.169671,India_art,943,Positive
High,8,happy,0.008484,India_art,943,Positive
High,3,alarmed,0.003181,India_art,943,Negative
High,2,aroused,0.002121,India_art,943,Positive
High,1,annoyed,0.00106,India_art,943,Negative
High,1,frustrated,0.00106,India_art,943,Negative
Low,450,calm,0.827206,Ink and wash painting,544,Positive
Low,31,content,0.056985,Ink and wash painting,544,Positive
High,26,excited,0.047794,Ink and wash painting,544,Positive
Low,22,sad,0.040441,Ink and wash painting,544,Negative
High,6,alarmed,0.011029,Ink and wash painting,544,Negative
High,6,frustrated,0.011029,Ink and wash painting,544,Negative
Low,2,tired,0.003676,Ink and wash painting,544,Negative
High,1,happy,0.001838,Ink and wash painting,544,Positive
Low,467,calm,0.585213,Islamic_image,798,Positive
Low,186,content,0.233083,Islamic_image,798,Positive
High,133,excited,0.166667,Islamic_image,798,Positive
High,6,alarmed,0.007519,Islamic_image,798,Negative
High,3,frustrated,0.003759,Islamic_image,798,Negative
High,1,annoyed,0.001253,Islamic_image,798,Negative
High,1,happy,0.001253,Islamic_image,798,Positive
Low,1,sad,0.001253,Islamic_image,798,Negative
Low,424,calm,0.874227,Korea,485,Positive
Low,57,content,0.117526,Korea,485,Positive
High,2,excited,0.004124,Korea,485,Positive
Low,2,sad,0.004124,Korea,485,Negative
High,375,excited,0.471106,Lyrical Abstraction,796,Positive
Low,296,calm,0.371859,Lyrical Abstraction,796,Positive
Low,62,content,0.077889,Lyrical Abstraction,796,Positive
High,23,frustrated,0.028894,Lyrical Abstraction,796,Negative
High,15,alarmed,0.018844,Lyrical Abstraction,796,Negative
Low,11,sad,0.013819,Lyrical Abstraction,796,Negative
High,5,annoyed,0.006281,Lyrical Abstraction,796,Negative
High,4,happy,0.005025,Lyrical Abstraction,796,Positive
Low,4,tired,0.005025,Lyrical Abstraction,796,Negative
High,1,aroused,0.001256,Lyrical Abstraction,796,Positive
Low,822,calm,0.588825,Magic Realism,1396,Positive
High,225,excited,0.161175,Magic Realism,1396,Positive
Low,168,content,0.120344,Magic Realism,1396,Positive
Low,68,sad,0.048711,Magic Realism,1396,Negative
High,47,alarmed,0.033668,Magic Realism,1396,Negative
High,32,frustrated,0.022923,Magic Realism,1396,Negative
Low,14,bored,0.010029,Magic Realism,1396,Negative
High,7,happy,0.005014,Magic Realism,1396,Positive
High,5,annoyed,0.003582,Magic Realism,1396,Negative
High,4,aroused,0.002865,Magic Realism,1396,Positive
Low,3,tired,0.002149,Magic Realism,1396,Negative
Low,1,glad,0.000716,Magic Realism,1396,Positive
Low,1160,calm,0.553964,Mannerism (Late Renaissance),2094,Positive
High,301,excited,0.143744,Mannerism (Late Renaissance),2094,Positive
Low,227,content,0.108405,Mannerism (Late Renaissance),2094,Positive
High,169,alarmed,0.080707,Mannerism (Late Renaissance),2094,Negative
Low,113,sad,0.053964,Mannerism (Late Renaissance),2094,Negative
High,90,frustrated,0.04298,Mannerism (Late Renaissance),2094,Negative
High,25,aroused,0.011939,Mannerism (Late Renaissance),2094,Positive
High,6,annoyed,0.002865,Mannerism (Late Renaissance),2094,Negative
High,3,happy,0.001433,Mannerism (Late Renaissance),2094,Positive
High,219,excited,0.44332,Native Art,494,Positive
Low,191,calm,0.38664,Native Art,494,Positive
Low,56,content,0.11336,Native Art,494,Positive
High,8,happy,0.016194,Native Art,494,Positive
High,6,frustrated,0.012146,Native Art,494,Negative
High,5,alarmed,0.010121,Native Art,494,Negative
High,4,aroused,0.008097,Native Art,494,Positive
High,3,annoyed,0.006073,Native Art,494,Negative
Low,1,glad,0.002024,Native Art,494,Positive
Low,1,sad,0.002024,Native Art,494,Negative
Low,429,calm,0.586867,Naturalism,731,Positive
Low,210,content,0.287278,Naturalism,731,Positive
High,54,excited,0.073871,Naturalism,731,Positive
Low,25,sad,0.0342,Naturalism,731,Negative
High,6,happy,0.008208,Naturalism,731,Positive
High,5,alarmed,0.00684,Naturalism,731,Negative
High,2,frustrated,0.002736,Naturalism,731,Negative
Low,1057,calm,0.44189,Naïve Art (Primitivism),2392,Positive
High,540,excited,0.225753,Naïve Art (Primitivism),2392,Positive
Low,461,content,0.192726,Naïve Art (Primitivism),2392,Positive
High,85,happy,0.035535,Naïve Art (Primitivism),2392,Positive
Low,83,sad,0.034699,Naïve Art (Primitivism),2392,Negative
High,77,alarmed,0.032191,Naïve Art (Primitivism),2392,Negative
High,36,frustrated,0.01505,Naïve Art (Primitivism),2392,Negative
Low,22,bored,0.009197,Naïve Art (Primitivism),2392,Negative
Low,17,tired,0.007107,Naïve Art (Primitivism),2392,Negative
High,7,aroused,0.002926,Naïve Art (Primitivism),2392,Positive
High,5,annoyed,0.00209,Naïve Art (Primitivism),2392,Negative
Low,2,glad,0.000836,Naïve Art (Primitivism),2392,Positive
High,496,excited,0.368773,Neo-Expressionism,1345,Positive
Low,303,calm,0.225279,Neo-Expressionism,1345,Positive
High,184,frustrated,0.136803,Neo-Expressionism,1345,Negative
High,150,alarmed,0.111524,Neo-Expressionism,1345,Negative
Low,70,content,0.052045,Neo-Expressionism,1345,Positive
Low,66,sad,0.049071,Neo-Expressionism,1345,Negative
High,43,annoyed,0.03197,Neo-Expressionism,1345,Negative
High,11,aroused,0.008178,Neo-Expressionism,1345,Positive
Low,9,bored,0.006691,Neo-Expressionism,1345,Negative
High,7,happy,0.005204,Neo-Expressionism,1345,Positive
Low,6,tired,0.004461,Neo-Expressionism,1345,Negative
Low,192,calm,0.619355,Neo-Impressionism,310,Positive
Low,64,content,0.206452,Neo-Impressionism,310,Positive
High,42,excited,0.135484,Neo-Impressionism,310,Positive
High,4,frustrated,0.012903,Neo-Impressionism,310,Negative
Low,3,sad,0.009677,Neo-Impressionism,310,Negative
High,2,alarmed,0.006452,Neo-Impressionism,310,Negative
Low,2,tired,0.006452,Neo-Impressionism,310,Negative
High,1,happy,0.003226,Neo-Impressionism,310,Positive
High,194,excited,0.586103,Neo-Pop Art,331,Positive
Low,62,calm,0.187311,Neo-Pop Art,331,Positive
High,25,alarmed,0.075529,Neo-Pop Art,331,Negative
High,14,happy,0.042296,Neo-Pop Art,331,Positive
High,12,frustrated,0.036254,Neo-Pop Art,331,Negative
Low,9,content,0.02719,Neo-Pop Art,331,Positive
High,6,aroused,0.018127,Neo-Pop Art,331,Positive
High,5,annoyed,0.015106,Neo-Pop Art,331,Negative
Low,3,sad,0.009063,Neo-Pop Art,331,Negative
Low,1,tired,0.003021,Neo-Pop Art,331,Negative
Low,217,calm,0.465665,Neo-Romanticism,466,Positive
Low,92,content,0.197425,Neo-Romanticism,466,Positive
High,91,excited,0.195279,Neo-Romanticism,466,Positive
High,20,alarmed,0.042918,Neo-Romanticism,466,Negative
Low,17,sad,0.036481,Neo-Romanticism,466,Negative
High,15,frustrated,0.032189,Neo-Romanticism,466,Negative
Low,4,tired,0.008584,Neo-Romanticism,466,Negative
High,3,annoyed,0.006438,Neo-Romanticism,466,Negative
High,3,happy,0.006438,Neo-Romanticism,466,Positive
High,2,aroused,0.004292,Neo-Romanticism,466,Positive
Low,2,bored,0.004292,Neo-Romanticism,466,Negative
Low,114,calm,0.6,New Realism,190,Positive
Low,34,content,0.178947,New Realism,190,Positive
High,14,excited,0.073684,New Realism,190,Positive
Low,14,sad,0.073684,New Realism,190,Negative
High,5,alarmed,0.026316,New Realism,190,Negative
High,5,happy,0.026316,New Realism,190,Positive
High,1,aroused,0.005263,New Realism,190,Positive
Low,1,bored,0.005263,New Realism,190,Negative
High,1,frustrated,0.005263,New Realism,190,Negative
Low,1,tired,0.005263,New Realism,190,Negative
High,425,excited,0.491329,Op Art,865,Positive
Low,359,calm,0.415029,Op Art,865,Positive
Low,40,content,0.046243,Op Art,865,Positive
High,13,aroused,0.015029,Op Art,865,Positive
High,11,frustrated,0.012717,Op Art,865,Negative
High,5,alarmed,0.00578,Op Art,865,Negative
High,4,annoyed,0.004624,Op Art,865,Negative
High,4,happy,0.004624,Op Art,865,Positive
Low,3,sad,0.003468,Op Art,865,Negative
Low,1,bored,0.001156,Op Art,865,Negative
Low,471,calm,0.55608,Orientalism,847,Positive
Low,184,content,0.217237,Orientalism,847,Positive
High,127,excited,0.149941,Orientalism,847,Positive
High,27,alarmed,0.031877,Orientalism,847,Negative
Low,19,sad,0.022432,Orientalism,847,Negative
High,6,frustrated,0.007084,Orientalism,847,Negative
High,5,happy,0.005903,Orientalism,847,Positive
High,3,aroused,0.003542,Orientalism,847,Positive
High,2,annoyed,0.002361,Orientalism,847,Negative
Low,1,bored,0.001181,Orientalism,847,Negative
Low,1,glad,0.001181,Orientalism,847,Positive
Low,1,tired,0.001181,Orientalism,847,Negative
Low,273,calm,0.552632,Pointillism,494,Positive
Low,117,content,0.236842,Pointillism,494,Positive
High,80,excited,0.161943,Pointillism,494,Positive
High,12,happy,0.024291,Pointillism,494,Positive
Low,6,sad,0.012146,Pointillism,494,Negative
High,2,annoyed,0.004049,Pointillism,494,Negative
High,1,alarmed,0.002024,Pointillism,494,Negative
High,1,aroused,0.002024,Pointillism,494,Positive
High,1,frustrated,0.002024,Pointillism,494,Negative
Low,1,glad,0.002024,Pointillism,494,Positive
High,882,excited,0.492737,Pop Art,1790,Positive
Low,553,calm,0.308939,Pop Art,1790,Positive
Low,141,content,0.078771,Pop Art,1790,Positive
High,72,alarmed,0.040223,Pop Art,1790,Negative
High,46,happy,0.025698,Pop Art,1790,Positive
High,31,frustrated,0.017318,Pop Art,1790,Negative
High,19,annoyed,0.010615,Pop Art,1790,Negative
Low,19,sad,0.010615,Pop Art,1790,Negative
Low,12,bored,0.006704,Pop Art,1790,Negative
High,10,aroused,0.005587,Pop Art,1790,Positive
Low,4,tired,0.002235,Pop Art,1790,Negative
Low,1,glad,0.000559,Pop Art,1790,Positive
Low,3510,calm,0.571103,Post-Impressionism,6146,Positive
Low,1272,content,0.206964,Post-Impressionism,6146,Positive
High,969,excited,0.157664,Post-Impressionism,6146,Positive
Low,197,sad,0.032053,Post-Impressionism,6146,Negative
High,85,happy,0.01383,Post-Impressionism,6146,Positive
High,45,frustrated,0.007322,Post-Impressionism,6146,Negative
High,28,alarmed,0.004556,Post-Impressionism,6146,Negative
High,16,aroused,0.002603,Post-Impressionism,6146,Positive
Low,15,tired,0.002441,Post-Impressionism,6146,Negative
High,6,annoyed,0.000976,Post-Impressionism,6146,Negative
Low,3,bored,0.000488,Post-Impressionism,6146,Negative
Low,9908,calm,0.647286,Realism,15307,Positive
Low,3023,content,0.197491,Realism,15307,Positive
Low,1047,sad,0.0684,Realism,15307,Negative
High,579,excited,0.037826,Realism,15307,Positive
High,335,alarmed,0.021885,Realism,15307,Negative
High,189,frustrated,0.012347,Realism,15307,Negative
Low,65,tired,0.004246,Realism,15307,Negative
High,64,happy,0.004181,Realism,15307,Positive
Low,32,bored,0.002091,Realism,15307,Negative
High,27,annoyed,0.001764,Realism,15307,Negative
High,27,aroused,0.001764,Realism,15307,Positive
Low,11,glad,0.000719,Realism,15307,Positive
Low,216,calm,0.439024,Regionalism,492,Positive
Low,137,content,0.278455,Regionalism,492,Positive
High,68,excited,0.138211,Regionalism,492,Positive
High,20,happy,0.04065,Regionalism,492,Positive
High,17,alarmed,0.034553,Regionalism,492,Negative
Low,13,sad,0.026423,Regionalism,492,Negative
High,8,frustrated,0.01626,Regionalism,492,Negative
High,5,aroused,0.010163,Regionalism,492,Positive
Low,3,tired,0.006098,Regionalism,492,Negative
Low,2,bored,0.004065,Regionalism,492,Negative
Low,2,glad,0.004065,Regionalism,492,Positive
High,1,annoyed,0.002033,Regionalism,492,Negative
Low,2506,calm,0.67131,Rococo,3733,Positive
Low,705,content,0.188856,Rococo,3733,Positive
High,255,excited,0.06831,Rococo,3733,Positive
High,129,alarmed,0.034557,Rococo,3733,Negative
Low,54,sad,0.014466,Rococo,3733,Negative
High,41,frustrated,0.010983,Rococo,3733,Negative
High,15,aroused,0.004018,Rococo,3733,Positive
High,13,annoyed,0.003482,Rococo,3733,Negative
High,9,happy,0.002411,Rococo,3733,Positive
Low,5,bored,0.001339,Rococo,3733,Negative
Low,1,tired,0.000268,Rococo,3733,Negative
Low,9543,calm,0.606637,Romanticism,15731,Positive
Low,2541,content,0.161528,Romanticism,15731,Positive
High,1308,alarmed,0.083148,Romanticism,15731,Negative
High,1113,excited,0.070752,Romanticism,15731,Positive
Low,715,sad,0.045452,Romanticism,15731,Negative
High,290,frustrated,0.018435,Romanticism,15731,Negative
High,78,happy,0.004958,Romanticism,15731,Positive
High,60,aroused,0.003814,Romanticism,15731,Positive
Low,35,tired,0.002225,Romanticism,15731,Negative
High,25,annoyed,0.001589,Romanticism,15731,Negative
Low,17,bored,0.001081,Romanticism,15731,Negative
Low,6,glad,0.000381,Romanticism,15731,Positive
Low,296,calm,0.868035,Shin-hanga,341,Positive
Low,26,content,0.076246,Shin-hanga,341,Positive
High,9,excited,0.026393,Shin-hanga,341,Positive
High,2,annoyed,0.005865,Shin-hanga,341,Negative
High,2,aroused,0.005865,Shin-hanga,341,Positive
High,2,frustrated,0.005865,Shin-hanga,341,Negative
High,1,alarmed,0.002933,Shin-hanga,341,Negative
High,1,happy,0.002933,Shin-hanga,341,Positive
Low,1,sad,0.002933,Shin-hanga,341,Negative
Low,1,tired,0.002933,Shin-hanga,341,Negative
Low,183,calm,0.317708,Social Realism,576,Positive
High,104,alarmed,0.180556,Social Realism,576,Negative
High,74,excited,0.128472,Social Realism,576,Positive
Low,74,sad,0.128472,Social Realism,576,Negative
Low,67,content,0.116319,Social Realism,576,Positive
High,39,frustrated,0.067708,Social Realism,576,Negative
High,12,annoyed,0.020833,Social Realism,576,Negative
Low,9,tired,0.015625,Social Realism,576,Negative
Low,7,bored,0.012153,Social Realism,576,Negative
High,4,aroused,0.006944,Social Realism,576,Positive
High,3,happy,0.005208,Social Realism,576,Positive
Low,209,calm,0.38,Socialist Realism,550,Positive
Low,104,content,0.189091,Socialist Realism,550,Positive
High,87,excited,0.158182,Socialist Realism,550,Positive
High,54,alarmed,0.098182,Socialist Realism,550,Negative
Low,29,sad,0.052727,Socialist Realism,550,Negative
High,23,frustrated,0.041818,Socialist Realism,550,Negative
High,21,annoyed,0.038182,Socialist Realism,550,Negative
Low,9,bored,0.016364,Socialist Realism,550,Negative
High,9,happy,0.016364,Socialist Realism,550,Positive
High,3,aroused,0.005455,Socialist Realism,550,Positive
Low,2,tired,0.003636,Socialist Realism,550,Negative
Low,1851,calm,0.417268,Surrealism,4436,Positive
High,879,excited,0.198151,Surrealism,4436,Positive
High,462,alarmed,0.104148,Surrealism,4436,Negative
Low,387,content,0.087241,Surrealism,4436,Positive
Low,380,sad,0.085663,Surrealism,4436,Negative
High,234,frustrated,0.05275,Surrealism,4436,Negative
Low,125,bored,0.028179,Surrealism,4436,Negative
Low,59,tired,0.0133,Surrealism,4436,Negative
High,24,annoyed,0.00541,Surrealism,4436,Negative
High,22,aroused,0.004959,Surrealism,4436,Positive
High,13,happy,0.002931,Surrealism,4436,Positive
Low,1983,calm,0.605496,Symbolism,3275,Positive
Low,377,content,0.115115,Symbolism,3275,Positive
Low,292,sad,0.08916,Symbolism,3275,Negative
High,276,excited,0.084275,Symbolism,3275,Positive
High,223,alarmed,0.068092,Symbolism,3275,Negative
High,88,frustrated,0.02687,Symbolism,3275,Negative
