sample_id,family_id,hard_constraints,style_freedom,composition_hints,medium_options,aspect_hints,candidate_strategies,caption
track1_0680,battle_tank_cavalry,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster with bold Russian typography portrays armed Allied soldiers advancing beneath a waving red flag and a monumental liberty figure, using strong graphic lines and a muted wartime color palette."
track1_0769,battle_tank_cavalry,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print | painting_or_brushwork_surface,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster with heroic Soviet soldiers raising weapons before red battle flags, bold Cyrillic lettering, a coastal city below, and dramatic warm-toned light with strong graphic brushwork."
track1_0091,naval_aviation_vehicle,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,uniformed sailor or pilot | ship or vehicle silhouette | transport machinery,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism poster of a uniformed border guard saluting joyful passengers leaning from a train window beside a red and green frontier post, with bold Cyrillic lettering, muted washes, and a solemn patriotic mood."
track1_0128,battle_tank_cavalry,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"Socialist Realism poster of Soviet soldiers marching beside a tank with red banners, celebratory flowers, and bold Cyrillic slogans in a patriotic, triumphant composition."
track1_0816,battle_tank_cavalry,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster with bold Cyrillic lettering, heroic cavalry, soldiers, and civilians marching through a rural wartime landscape in vivid brushstrokes and dramatic warm light."
track1_0151,scroll_album_paper_support,caption_content | support_surface_required | requested_text_policy | relation_logic,preserve_support_aspect | medium_texture_variation_allowed | viewpoint_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print | scroll_or_album_paper_support,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster on aged folded paper, with bold Cyrillic lettering and dramatic Soviet soldiers charging with rifles and bayonets against historical Prussian figures, using muted greens, reds, and tan tones."
track1_0696,surrender_document_tableau,caption_content | requested_text_policy,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,central document | officer figures | formal table arrangement,propaganda_poster_print | document_or_tableau_surface,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster with bold Cyrillic lettering portrays Allied and Soviet military figures around a table as a defeated German officer signs an unconditional surrender, framed by national flags, strong outlines, muted wartime colors, and a solemn dramatic mood."
track1_0721,surrender_document_tableau,caption_content | requested_text_policy,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,central document | officer figures | formal table arrangement,propaganda_poster_print | document_or_tableau_surface,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster with bold Cyrillic typography, a central surrender declaration document, and four military portraits framed by Soviet, American, British, and French flags on a mint-green vintage paper background."
track1_0831,naval_aviation_vehicle,caption_content | requested_text_policy,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,uniformed sailor or pilot | ship or vehicle silhouette | transport machinery,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster of railway workers honoring a locomotive engineer beside a steaming train, with red flags, bouquets, bold Cyrillic slogans, warm muted colors, and a heroic celebratory atmosphere."
track1_0971,generic_artwork,caption_content | requested_text_policy,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,caption-led subject | medium-appropriate composition | avoid batch template,propaganda_poster_print | painting_or_brushwork_surface,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster of heroic partisans with rifles before rugged mountains and a red-star flag, framed by Cyrillic text, rendered in bold flat brushwork with a muted turquoise, orange, and beige palette."
track1_0491,generic_artwork,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,caption-led subject | medium-appropriate composition | avoid batch template,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism Soviet agricultural poster with a farm woman holding a basket of vegetables before green fields, surrounded by abundant produce, bold Cyrillic lettering, bright flat colors, and strong poster-like composition."
track1_0802,generic_artwork,caption_content | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,caption-led subject | medium-appropriate composition | avoid batch template,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism Soviet poster of three decorated citizens holding tall red banners before a fiery red flag with a star emblem, rendered in bold flat colors and heroic propaganda composition."
track1_0534,generic_artwork,caption_content | requested_text_policy,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,caption-led subject | medium-appropriate composition | avoid batch template,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster with a Soviet soldier embracing a woman in traditional embroidered clothing beneath red banners, a Soviet emblem, and bold Cyrillic lettering, rendered in strong graphic colors and heroic composition."
track1_0649,battle_tank_cavalry,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print | painting_or_brushwork_surface,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster with bold Cyrillic typography, Soviet soldiers greeting a coastal villager beside a river or bay, wooden houses and boats in the background, painted in warm yellows, reds, and muted greens with strong graphic brushwork."
track1_0776,scroll_album_paper_support,caption_content | support_surface_required | requested_text_policy | relation_logic,preserve_support_aspect | medium_texture_variation_allowed | viewpoint_variation_allowed,visible paper support | folds or ruled grid | album or scroll framing,scroll_or_album_paper_support | painting_or_brushwork_surface,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""vertical_scroll"", ""prompt_directive"": ""Use a tall vertical scroll canvas with visible mounting/support; avoid cropping to only the inner painting."", ""reason"": """", ""source"": ""rule"", ""width"": 682}]",aas_safe | reference_style | fid_diverse,"A Gongbi hanging scroll with elegant calligraphy and red seals above a finely outlined bearded man in a long robe holding the reins of a pale horse, rendered with delicate linework and muted ink colors."
track1_0327,battle_tank_cavalry,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"Socialist Realism poster of soldiers and pack horses hauling a cannon through a snowy Carpathian mountain pass, with bold Cyrillic typography, muted blue-white winter tones, and a heroic, determined mood."
track1_0457,agriculture_industry_worker,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,field or factory setting | working hands and tools | productive labor,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism Soviet poster with bold Cyrillic lettering, showing a heroic medieval smith and armored warrior forging a sword above a modern soldier and factory worker shaking hands beside a tank, rendered with strong outlines, muted colors, and patriotic dramatic composition."
track1_0958,generic_artwork,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,caption-led subject | medium-appropriate composition | avoid batch template,propaganda_poster_print | painting_or_brushwork_surface,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism wartime poster of a nurse in a white uniform tending a wounded soldier beside a rifle, with bold Cyrillic typography, strong ink outlines, muted watercolor tones, and a solemn heroic mood."
track1_0686,commemorative_medal_institution,caption_content | requested_text_policy,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,medal ribbon | institutional emblem | anniversary composition,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism Soviet propaganda poster with Cyrillic text, Baltic republic emblems, a large red Roman numeral V, golden ribbons, oak leaves, and a pale map background on aged paper."
track1_0038,battle_tank_cavalry,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"Socialist Realism poster of Soviet soldiers raising red victory banners beneath communist emblems and the bold year 1944, with a liberated city skyline and a heroic, triumphant red-and-gold composition."
track1_0444,generic_artwork,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,caption-led subject | medium-appropriate composition | avoid batch template,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster with bold Russian text, a heroic soldier holding a rifle beside a farmer sowing seeds in a plowed field, and a defeated Nazi figure under dramatic blue skies and strong graphic colors."
track1_0197,generic_artwork,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,caption-led subject | medium-appropriate composition | avoid batch template,propaganda_poster_print | painting_or_brushwork_surface,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism Soviet poster of uniformed artillerymen standing among large shells beneath towering guns and bold Cyrillic slogans, rendered with graphic brushwork, muted red-blue-yellow tones, and a solemn patriotic mood."
track1_0435,generic_artwork,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,caption-led subject | medium-appropriate composition | avoid batch template,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster of a Soviet soldier in a white winter coat standing triumphantly on rocky heights with a rifle, arm outstretched over a distant city under a dramatic orange smoky sky and bold Cyrillic lettering."
track1_0643,battle_tank_cavalry,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print | painting_or_brushwork_surface,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"Socialist Realism poster art with bold Cyrillic typography and dynamic brushwork, showing mounted cavalrymen charging across a grassy landscape beneath a pale sky with aircraft overhead."
track1_0973,battle_tank_cavalry,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism wartime propaganda poster with Cyrillic slogans, Red Army soldiers crouched in a trench beside a large artillery gun and battlefield smoke, rendered in a muted palette with bold, urgent composition."
track1_0314,agriculture_industry_worker,caption_content | requested_text_policy,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,field or factory setting | working hands and tools | productive labor,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism Soviet propaganda poster with a bold Cyrillic headline, heroic soldiers, an industrial worker, anti-fascist caricature scenes, and stark wartime panels in muted reds, blues, and beige tones."
track1_0160,kremlin_red_square,caption_content | landmark_reference,aspect_variation_allowed | style_variation_allowed | crop_variation_allowed,red brick tower | searchlight | night scene,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism Soviet poster with a vast red banner bearing Stalin’s profile above the Kremlin tower, crossed by dramatic searchlights against a dark night sky in a bold red and orange palette."
track1_0923,battle_tank_cavalry,caption_content | requested_text_policy,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print | scroll_or_album_paper_support,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"Socialist Realism propaganda poster with bold Cyrillic headlines, a chaotic caricature of a defeated military officer and soldiers in retreat, dynamic angular brushstrokes, muted tan and blue colors, and a dramatic folded-paper texture."
track1_0241,battle_tank_cavalry,caption_content | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster with soldiers raising Soviet, American, and British flags against a bright blue sky, rendered in bold colors and heroic upward composition."
track1_0533,battle_tank_cavalry,caption_content | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster of a mounted Red Army soldier charging forward on a horse while raising a large red flag, with dramatic clouds, battlefield silhouettes, and bold painterly colors."
