rank,sample_id,source,review_tier,delta,distribution_delta,perceptual_delta,candidate_review_missing,duplicate_candidate_count,current_image,candidate_image,caption,acceptance_status
28,track1_0168,full1000,medium_delta_review,0.0484,0.1509,0.1719,True,2,submissions/track1/images/track1_0168.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0168.jpg,"Ukiyo-e scene of elegant women in traditional robes gathered on a wooden veranda, with fine linework, muted colors, patterned textiles, and a calm domestic atmosphere.",review_needed_not_accepted
29,track1_0787,full1000,medium_delta_review,0.0483,0.2083,0.1141,True,1,submissions/track1/images/track1_0787.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0787.jpg,"Ukiyo-e portrait of a standing Japanese actor or warrior in an ornate patterned kimono with a sword, surrounded by calligraphy on aged paper with bold outlines and muted red, gold, and black tones.",review_needed_not_accepted
30,track1_0746,full1000,medium_delta_review,0.0473,0.2141,0.1011,True,1,submissions/track1/images/track1_0746.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0746.jpg,"Ukiyo-e scene of two kimono-clad figures walking under yellow paper umbrellas through diagonal rain, with delicate linework, muted colors, and a calligraphy cartouche in the upper corner.",review_needed_not_accepted
31,track1_0233,full1000,medium_delta_review,0.0472,0.2143,0.1006,True,2,submissions/track1/images/track1_0233.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0233.jpg,"Ink and wash painting of a serene mountainous landscape with towering rocky peaks, dense pine trees, small riverside pavilions, and delicate monochrome brushwork on a vertical scroll.",review_needed_not_accepted
32,track1_0832,full1000,medium_delta_review,0.0469,0.1803,0.1326,True,1,submissions/track1/images/track1_0832.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0832.jpg,"Ukiyo-e scene of two women in patterned kimonos, one standing and one kneeling with a fan beside tall flowering plants, rendered with flat warm colors and delicate linework.",review_needed_not_accepted
33,track1_0180,full1000,medium_delta_review,0.0466,0.1683,0.1426,True,2,submissions/track1/images/track1_0180.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0180.jpg,"Ukiyo-e woodblock print of travelers crossing a high arched bridge over a blue river, with wooden supports, stone embankments, and a small village landscape in muted colors and crisp linework.",review_needed_not_accepted
34,track1_0890,full1000,medium_delta_review,0.0462,0.1859,0.1217,True,1,submissions/track1/images/track1_0890.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0890.jpg,"A Ukiyo-e landscape of a winding blue river with small boats, grassy banks, pine and willow trees, and distant huts, rendered with bold outlines and a muted green and blue palette.",review_needed_not_accepted
35,track1_0872,full1000,medium_delta_review,0.046,0.1673,0.1394,True,1,submissions/track1/images/track1_0872.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0872.jpg,"A serene Ukiyo-e landscape with a winding stream flowing through rocky banks, dense green hills, and trees silhouetted against a dark sky, rendered with bold outlines and textured wave patterns.",review_needed_not_accepted
36,track1_0080,full1000,medium_delta_review,0.0449,0.1635,0.1362,True,2,submissions/track1/images/track1_0080.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0080.jpg,"Ukiyo-e style scene of two dramatic warriors grappling in richly patterned robes, with bold outlines, flat colors, and a vertical woodblock print composition.",review_needed_not_accepted
37,track1_0616,full1000,medium_delta_review,0.044,0.1908,0.1021,True,2,submissions/track1/images/track1_0616.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0616.jpg,"Ink and wash painting of a gnarled pine tree rising from rocky ground beside grasses and a quiet shoreline, with delicate brushwork, muted sepia tones, calligraphy, and red seals creating a serene traditional landscape.",review_needed_not_accepted
38,track1_0914,full1000,medium_delta_review,0.0433,0.1755,0.1137,True,1,submissions/track1/images/track1_0914.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0914.jpg,"Ukiyo-e print of whimsical yokai-like figures and tiny travelers parading with umbrellas, instruments, and strange sea-creature forms, rendered with fine outlines, muted colors, and a playful fantastical mood.",review_needed_not_accepted
39,track1_0008,full1000,medium_delta_review,0.0432,0.1837,0.1039,True,2,submissions/track1/images/track1_0008.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0008.jpg,"Ukiyo-e rural landscape with travelers walking along a winding path beside fields and a narrow stream, tall trees rising in the foreground, muted colors, fine linework, and vertical composition.",review_needed_not_accepted
40,track1_0991,full1000,medium_delta_review,0.0432,0.1664,0.1216,True,1,submissions/track1/images/track1_0991.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0991.jpg,"A Baroque engraved courtyard scene with grand arcaded architecture, a central tower, small figures gathered below, and winged mythological figures flying through a dramatic sky.",review_needed_not_accepted
41,track1_0488,full1000,medium_delta_review,0.043,0.1876,0.0996,True,2,submissions/track1/images/track1_0488.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0488.jpg,"A Ukiyo-e landscape with a winding blue river, small boats, a wooden bridge, riverside buildings, green trees, and distant mountains beneath a softly graded sky.",review_needed_not_accepted
42,track1_0628,full1000,medium_delta_review,0.0429,0.1537,0.1325,True,2,submissions/track1/images/track1_0628.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0628.jpg,"A Socialist Realism Soviet poster with bold Cyrillic typography contrasts wartime devastation behind barbed wire with liberated Ukrainian peasants harvesting golden wheat under a bright sky, using strong graphic composition and earthy colors.",review_needed_not_accepted
43,track1_0590,full1000,medium_delta_review,0.0417,0.1587,0.1192,True,2,submissions/track1/images/track1_0590.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0590.jpg,"Ukiyo-e style scene of three figures in traditional Japanese robes walking past a wooden building and garden, rendered with delicate linework and a muted earthy color palette.",review_needed_not_accepted
44,track1_0314,full1000,medium_delta_review,0.0416,0.1602,0.1171,True,2,submissions/track1/images/track1_0314.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0314.jpg,"A Socialist Realism Soviet propaganda poster with a bold Cyrillic headline, heroic soldiers, an industrial worker, anti-fascist caricature scenes, and stark wartime panels in muted reds, blues, and beige tones.",review_needed_not_accepted
45,track1_0915,full1000,medium_delta_review,0.0415,0.153,0.1233,True,1,submissions/track1/images/track1_0915.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0915.jpg,"Ukiyo-e style scene of two women in patterned kimono walking under a large umbrella in falling snow, with delicate linework, muted earthy colors, and calligraphic text in the background.",review_needed_not_accepted
46,track1_0140,full1000,medium_delta_review,0.0413,0.1621,0.1134,True,2,submissions/track1/images/track1_0140.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0140.jpg,"Ukiyo-e style portrait of a woman in a patterned kimono standing beside a small tea stand with a kettle, cup, wooden furnishings, vertical calligraphy, muted colors, and delicate ink linework on aged paper.",review_needed_not_accepted
47,track1_0523,full1000,medium_delta_review,0.0411,0.1477,0.1261,True,2,submissions/track1/images/track1_0523.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0523.jpg,"Ukiyo-e style circular composition of a busy river harbor with boats, a large moored vessel in the foreground, distant waterfront buildings, muted colors, fine linework, and Japanese calligraphy on a dark background.",review_needed_not_accepted
48,track1_0697,full1000,medium_delta_review,0.041,0.1492,0.1243,True,2,submissions/track1/images/track1_0697.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0697.jpg,"Abstract composition of geometric pyramids, spheres, and block-like forms on a faint grid, layered with energetic sketchy lines, splattered textures, and a vivid yellow, teal, orange, and red palette.",review_needed_not_accepted
49,track1_0223,full1000,medium_delta_review,0.0409,0.1753,0.0974,True,2,submissions/track1/images/track1_0223.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0223.jpg,"An Early Renaissance monochrome illustration of a robed seated figure beside a walled garden and gate, with a small church, trees, hills, and delicate hatched linework in a muted sepia palette.",review_needed_not_accepted
50,track1_0952,full1000,medium_delta_review,0.0409,0.1456,0.1274,True,1,submissions/track1/images/track1_0952.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0952.jpg,"A Ukiyo-e portrait of an elegant woman in a richly patterned blue kimono within a decorative interior, rendered with flat color blocks, delicate linework, and a muted vintage palette.",review_needed_not_accepted
51,track1_0611,full1000,medium_delta_review,0.0408,0.1661,0.1058,True,2,submissions/track1/images/track1_0611.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0611.jpg,"Ink and wash painting of a serene mountainous riverside landscape with layered rocky peaks, misty water, trees, a small pavilion by the shore, a tiny boat, and delicate calligraphy rendered in monochrome brushwork.",review_needed_not_accepted
52,track1_0385,full1000,medium_delta_review,0.0408,0.1458,0.1264,True,2,submissions/track1/images/track1_0385.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0385.jpg,"Ukiyo-e portrait of an elegantly dressed woman in a patterned kimono standing beneath leafy branches, holding a folding fan beside a quiet riverside landscape with delicate linework and muted colors.",review_needed_not_accepted
53,track1_0635,full1000,medium_delta_review,0.0404,0.1264,0.143,True,2,submissions/track1/images/track1_0635.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0635.jpg,"Ukiyo-e scene of three elegantly robed figures standing near a garden doorway with flowering trees, rendered in delicate linework, muted colors, and an aged paper texture.",review_needed_not_accepted
54,track1_0884,full1000,medium_delta_review,0.04,0.1499,0.117,True,1,submissions/track1/images/track1_0884.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0884.jpg,"A Socialist Realism poster-style scene of tanks rolling through a cheering city parade beneath sweeping red banners, red stars, and a monumental building, painted with bold colors and celebratory dramatic composition.",review_needed_not_accepted
55,track1_0838,full1000,medium_delta_review,0.0396,0.1858,0.0785,True,1,submissions/track1/images/track1_0838.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0838.jpg,"Ukiyo-e style owl perched on a mossy twisting branch with red maple leaves, Japanese calligraphy, muted earthy colors, and delicate textured linework on aged paper.",review_needed_not_accepted
56,track1_0937,full1000,medium_delta_review,0.0396,0.1715,0.0923,True,1,submissions/track1/images/track1_0937.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0937.jpg,"Ink and wash painting of a serene mountainous landscape with clustered trees, rocky slopes, small houses in a valley, calligraphy inscriptions, and red seal stamps rendered with delicate monochrome brushwork.",review_needed_not_accepted
57,track1_0815,full1000,medium_delta_review,0.0396,0.1387,0.1259,True,1,submissions/track1/images/track1_0815.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0815.jpg,"Ukiyo-e scene of elegantly dressed Japanese figures gathered closely with folding fans and patterned robes, rendered in fine ink lines and a muted beige color palette.",review_needed_not_accepted
58,track1_0724,full1000,medium_delta_review,0.039,0.1419,0.1183,True,1,submissions/track1/images/track1_0724.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0724.jpg,"Abstract pencil sketch of a sparse architectural landscape with faint angular building outlines, a curving path, delicate linear marks, and a muted beige paper texture.",review_needed_not_accepted
59,track1_0445,full1000,medium_delta_review,0.0388,0.1536,0.1052,True,2,submissions/track1/images/track1_0445.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0445.jpg,"Ink and wash painting of a fan-shaped mountainous landscape with rocky peaks, sparse trees, misty valleys, a calligraphy inscription, warm sepia tones, and delicate brushwork.",review_needed_not_accepted
60,track1_0604,full1000,medium_delta_review,0.0385,0.1817,0.0747,True,2,submissions/track1/images/track1_0604.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0604.jpg,"Ukiyo-e scene of two women in flowing robes sharing a large umbrella beside a quiet waterside with birds and reeds, rendered in delicate linework and a muted earthy palette.",review_needed_not_accepted
61,track1_0712,full1000,medium_delta_review,0.0377,0.1149,0.1361,True,2,submissions/track1/images/track1_0712.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0712.jpg,Ink and wash painting of a vertical scroll with a robed sage in a circular frame above swirling dragon-like forms and bold ornamental black brushstrokes on aged sepia paper.,review_needed_not_accepted
62,track1_0434,full1000,medium_delta_review,0.037,0.171,0.0754,True,2,submissions/track1/images/track1_0434.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0434.jpg,"Ink and wash painting of a serene mountainous landscape with layered rocky ridges, dense trees, misty distant peaks, muted sepia tones, fine brushwork, and calligraphy inscription above.",review_needed_not_accepted
63,track1_0750,full1000,medium_delta_review,0.037,0.1256,0.1212,True,1,submissions/track1/images/track1_0750.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0750.jpg,"A Socialist Realism wartime propaganda poster with comic-like panels of civilians resisting fascist forces through sabotage, explosions, burning vehicles, red flags, Cyrillic slogans, and bold red, black, and pale blue graphic linework.",review_needed_not_accepted
64,track1_0249,full1000,medium_delta_review,0.0366,0.1533,0.0906,True,2,submissions/track1/images/track1_0249.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0249.jpg,"Abstract ink and watercolor composition of clustered skull-like heads and amorphous gray forms resting above a bold red horizontal band, with loose sketch lines on beige paper.",review_needed_not_accepted
65,track1_0812,full1000,medium_delta_review,0.0366,0.1394,0.1047,True,2,submissions/track1/images/track1_0812.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0812.jpg,"Ukiyo-e scene of a woman holding a patterned parasol beside a child riding a small toy horse near a pink wooden building, with delicate linework, muted colors, and a calm spring atmosphere.",review_needed_not_accepted
66,track1_0665,full1000,medium_delta_review,0.0365,0.1112,0.1323,True,2,submissions/track1/images/track1_0665.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0665.jpg,"A Socialist Realism Soviet victory poster with bold Russian typography, a large medal suspended from a black-and-orange ribbon above Kremlin towers, crowds, fireworks, and radiant blue searchlights in a solemn celebratory composition.",review_needed_not_accepted
67,track1_0818,full1000,medium_delta_review,0.0363,0.1411,0.1009,True,2,submissions/track1/images/track1_0818.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0818.jpg,"A Socialist Realism wartime propaganda poster of Allied cargo ships, sailors, naval flags, and sea convoy scenes, rendered with bold graphic composition, flat colors, and a solemn patriotic atmosphere.",review_needed_not_accepted
68,track1_0930,full1000,medium_delta_review,0.036,0.1423,0.0981,True,1,submissions/track1/images/track1_0930.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0930.jpg,"Ink and wash painting of a serene mountainous riverside landscape with layered rocky peaks, pine trees, a small pavilion by the water, tiny boats, and delicate calligraphy in a soft monochrome palette.",review_needed_not_accepted
69,track1_0699,full1000,medium_delta_review,0.0357,0.1401,0.0981,True,2,submissions/track1/images/track1_0699.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0699.jpg,"Ink and wash painting of bold abstract black brushstroke forms on beige paper with Chinese calligraphy inscriptions, rough dry-brush textures, and a restrained monochrome palette.",review_needed_not_accepted
70,track1_0593,full1000,medium_delta_review,0.0357,0.1261,0.1122,True,2,submissions/track1/images/track1_0593.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0593.jpg,"A Socialist Realism Soviet propaganda poster with bold Cyrillic text, a monumental sword-wielding historical figure above soldiers raising red flags amid a liberated battlefield town, rendered in dramatic colors and strong graphic brushwork.",review_needed_not_accepted
71,track1_0494,full1000,medium_delta_review,0.0354,0.1314,0.1042,True,2,submissions/track1/images/track1_0494.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0494.jpg,"A Gongbi style double portrait of a solemn imperial couple in ornate embroidered robes and jeweled headdresses, arranged symmetrically on two warm-toned hanging scroll panels with fine linework and muted colors.",review_needed_not_accepted
72,track1_0157,full1000,medium_delta_review,0.0351,0.1616,0.0727,True,2,submissions/track1/images/track1_0157.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0157.jpg,"An Early Renaissance triptych of the Nativity with Mary and Joseph kneeling before the infant Christ in a rustic manger, angels hovering above, donors in the side panels, ruined stone architecture, distant landscape, clear linear detail, and a solemn devotional mood.",review_needed_not_accepted
73,track1_0753,full1000,medium_delta_review,0.0351,0.1064,0.1278,True,1,submissions/track1/images/track1_0753.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0753.jpg,"A Ukiyo-e portrait of a woman with elaborate black hair and patterned robes, surrounded by delicate decorative objects and muted aged paper tones.",review_needed_not_accepted
74,track1_0934,full1000,medium_delta_review,0.0351,0.1037,0.1303,True,1,submissions/track1/images/track1_0934.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0934.jpg,"Abstract pop art composition of fragmented cow-like shapes and geometric panels with bold black outlines, diagonal hatching, flat yellow, blue, and cream colors, and vertical lettering along the right side.",review_needed_not_accepted
