cross_quadrant_risk,decision,evidence_score,family_count,ladder,proposed_arousal,proposed_emotion,proposed_valence,reason_codes,same_quadrant,sample_id,source_count,transition
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0104,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0109,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0193,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0266,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0343,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0426,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0430,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0456,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0496,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0534,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0588,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0597,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0633,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0652,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0702,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0744,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0751,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0761,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0807,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0819,9,content->calm
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0937,9,calm->content
False,accept_safe,14.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0089,8,calm->content
False,accept_safe,12.0,4,v6_safe_sameq,Low,tired,Negative,same_quadrant_multi_source_support,True,track2_0408,7,sad->tired
False,accept_safe,12.0,4,v6_safe_sameq,Low,glad,Positive,same_quadrant_multi_source_support,True,track2_0434,7,content->glad
False,accept_safe,12.0,4,v6_safe_sameq,Low,glad,Positive,same_quadrant_multi_source_support,True,track2_0604,7,content->glad
False,accept_safe,12.0,4,v6_safe_sameq,High,happy,Positive,same_quadrant_multi_source_support,True,track2_0964,7,excited->happy
False,accept_safe,11.0,4,v6_safe_sameq,Low,glad,Positive,same_quadrant_multi_source_support,True,track2_0027,6,content->glad
False,accept_safe,11.0,4,v6_safe_sameq,Low,glad,Positive,same_quadrant_multi_source_support,True,track2_0057,6,content->glad
False,accept_safe,11.0,4,v6_safe_sameq,Low,glad,Positive,same_quadrant_multi_source_support,True,track2_0111,6,content->glad
False,accept_safe,11.0,4,v6_safe_sameq,Low,glad,Positive,same_quadrant_multi_source_support,True,track2_0622,6,calm->glad
False,accept_safe,11.0,4,v6_safe_sameq,Low,glad,Positive,same_quadrant_multi_source_support,True,track2_0897,6,calm->glad
True,hold_review,11.0,5,,Low,calm,Positive,missing_cross_arbitration;missing_hard96_gain,False,track2_0547,10,annoyed->calm
False,accept_safe,10.0,4,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0210,5,content->calm
False,accept_safe,10.0,3,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0495,6,calm->content
False,accept_safe,10.0,4,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0555,5,content->calm
False,accept_safe,10.0,4,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0869,5,content->calm
False,accept_safe,10.0,4,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0871,5,content->calm
False,accept_safe,10.0,4,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0914,5,content->calm
False,accept_safe,10.0,3,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0955,6,calm->content
False,accept_safe,10.0,2,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0956,5,content->calm
False,accept_safe,9.0,3,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0023,5,calm->content
False,accept_safe,9.0,3,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0130,5,calm->content
False,accept_safe,9.0,2,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0169,4,content->calm
False,accept_safe,9.0,3,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0285,5,calm->content
False,accept_safe,9.0,2,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0410,4,content->calm
False,accept_safe,9.0,2,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0443,4,content->calm
False,accept_safe,9.0,2,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0515,4,content->calm
False,accept_safe,9.0,2,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0580,4,content->calm
False,accept_safe,9.0,3,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0647,5,calm->content
False,accept_safe,9.0,2,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0651,4,content->calm
False,accept_safe,9.0,3,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0765,3,content->calm
False,accept_safe,9.0,3,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0841,5,calm->content
False,accept_safe,9.0,3,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0864,5,calm->content
False,accept_safe,9.0,2,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0880,4,content->calm
False,accept_safe,9.0,3,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0904,5,calm->content
False,accept_safe,8.0,2,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0704,3,content->calm
False,accept_safe,8.0,2,v6_safe_sameq,Low,calm,Positive,same_quadrant_multi_source_support,True,track2_0944,3,content->calm
False,hold_review,7.0,2,,High,excited,Positive,low_evidence_score,True,track2_0372,4,aroused->excited
False,hold_review,7.0,2,,Low,content,Positive,low_evidence_score,True,track2_0913,4,glad->content
True,hold_review,7.0,4,,Low,tired,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0088,7,calm->tired
True,hold_review,7.0,4,,Low,tired,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0139,7,calm->tired
True,hold_review,7.0,4,,Low,bored,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0319,7,calm->bored
True,hold_review,7.0,4,,Low,bored,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0414,7,calm->bored
True,hold_review,7.0,4,,High,aroused,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0457,7,calm->aroused
True,hold_review,7.0,4,,High,aroused,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0665,7,calm->aroused
True,hold_review,7.0,4,,High,aroused,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0728,7,alarmed->aroused
True,hold_review,7.0,4,,Low,tired,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0925,7,calm->tired
False,hold_review,5.0,1,,Low,sad,Negative,low_evidence_score;insufficient_family_count,True,track2_0031,3,tired->sad
False,hold_review,5.0,1,,Low,sad,Negative,low_evidence_score;insufficient_family_count,True,track2_0113,3,bored->sad
False,hold_review,5.0,1,,High,excited,Positive,low_evidence_score;insufficient_family_count,True,track2_0152,3,happy->excited
False,hold_review,5.0,1,,Low,content,Positive,low_evidence_score;insufficient_family_count,True,track2_0237,3,glad->content
False,hold_review,5.0,2,,Low,calm,Positive,low_evidence_score;insufficient_source_count,True,track2_0280,2,content->calm
False,hold_review,5.0,3,,Low,content,Positive,gemini35_objection,True,track2_0281,6,calm->content
False,hold_review,5.0,1,,Low,sad,Negative,low_evidence_score;insufficient_family_count,True,track2_0567,3,tired->sad
False,hold_review,5.0,1,,Low,calm,Positive,low_evidence_score;insufficient_family_count,True,track2_0643,3,glad->calm
False,hold_review,5.0,1,,Low,sad,Negative,low_evidence_score;insufficient_family_count,True,track2_0694,3,tired->sad
False,hold_review,5.0,2,,Low,calm,Positive,low_evidence_score;insufficient_source_count,True,track2_0718,2,content->calm
False,hold_review,5.0,2,,Low,calm,Positive,low_evidence_score;insufficient_source_count,True,track2_0809,2,content->calm
False,hold_review,5.0,1,,Low,content,Positive,low_evidence_score;insufficient_family_count,True,track2_0818,3,glad->content
False,hold_review,5.0,1,,Low,content,Positive,low_evidence_score;insufficient_family_count,True,track2_0957,3,glad->content
True,hold_review,5.0,3,,Low,sad,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0153,6,calm->sad
True,hold_review,5.0,3,,Low,tired,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0286,6,calm->tired
True,hold_review,5.0,3,,Low,tired,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0318,6,calm->tired
True,hold_review,5.0,3,,Low,tired,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0796,6,calm->tired
True,hold_review,5.0,3,,High,annoyed,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0815,6,content->annoyed
True,hold_review,5.0,3,,Low,bored,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0829,6,calm->bored
False,hold_review,4.0,3,,Low,content,Positive,gemini35_objection,True,track2_0161,5,calm->content
False,hold_review,4.0,3,,Low,content,Positive,gemini35_objection,True,track2_0199,5,calm->content
False,hold_review,4.0,3,,Low,content,Positive,gemini35_objection,True,track2_0569,5,calm->content
False,hold_review,4.0,3,,Low,content,Positive,gemini35_objection,True,track2_0606,5,calm->content
False,hold_review,4.0,3,,Low,content,Positive,gemini35_objection,True,track2_0794,5,calm->content
False,hold_review,4.0,3,,Low,content,Positive,gemini35_objection,True,track2_0866,5,calm->content
False,hold_review,3.0,1,,Low,calm,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0044,1,content->calm
False,hold_review,3.0,1,,Low,calm,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0087,1,content->calm
False,hold_review,3.0,1,,Low,calm,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0099,1,content->calm
False,hold_review,3.0,1,,Low,calm,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0270,1,content->calm
False,hold_review,3.0,1,,Low,calm,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0271,1,content->calm
False,hold_review,3.0,1,,Low,calm,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0455,1,content->calm
False,hold_review,3.0,1,,Low,calm,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0481,1,content->calm
False,hold_review,3.0,1,,Low,calm,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0557,1,content->calm
False,hold_review,3.0,1,,Low,content,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0622,1,calm->content
False,hold_review,3.0,1,,Low,calm,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0678,1,content->calm
False,hold_review,3.0,1,,Low,calm,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0800,1,content->calm
False,hold_review,3.0,1,,Low,calm,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0832,1,content->calm
False,hold_review,3.0,1,,Low,calm,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0941,1,content->calm
False,hold_review,3.0,1,,Low,calm,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0942,1,content->calm
False,hold_review,3.0,1,,Low,calm,Positive,low_evidence_score;insufficient_source_count;insufficient_family_count,True,track2_0996,1,content->calm
True,hold_review,3.0,2,,Low,tired,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_family_count,False,track2_0299,5,calm->tired
True,hold_review,3.0,3,,Low,calm,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0873,4,aroused->calm
True,hold_review,1.0,2,,Low,tired,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0452,3,calm->tired
True,hold_review,1.0,2,,Low,sad,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0605,3,calm->sad
True,hold_review,1.0,2,,Low,tired,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0772,3,calm->tired
True,hold_review,0.0,1,,Low,sad,Negative,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0030,3,alarmed->sad
True,hold_review,0.0,1,,Low,calm,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0056,3,tired->calm
True,hold_review,0.0,1,,Low,sad,Negative,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0245,3,frustrated->sad
True,hold_review,0.0,1,,Low,calm,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0273,3,bored->calm
True,hold_review,0.0,1,,Low,calm,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0279,3,aroused->calm
True,hold_review,0.0,3,,High,frustrated,Negative,gemini35_objection;dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score,False,track2_0357,6,calm->frustrated
True,hold_review,0.0,1,,Low,sad,Negative,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0480,3,alarmed->sad
True,hold_review,0.0,1,,Low,calm,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0505,3,tired->calm
True,hold_review,0.0,1,,High,alarmed,Negative,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0523,3,aroused->alarmed
True,hold_review,0.0,1,,Low,calm,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0563,3,bored->calm
True,hold_review,0.0,1,,Low,calm,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0618,3,sad->calm
True,hold_review,0.0,1,,Low,calm,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0632,3,bored->calm
True,hold_review,0.0,1,,Low,calm,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0670,3,annoyed->calm
True,hold_review,0.0,1,,Low,calm,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0697,3,bored->calm
True,hold_review,0.0,1,,Low,calm,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0705,3,bored->calm
True,hold_review,0.0,1,,High,excited,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0770,3,content->excited
True,hold_review,0.0,1,,Low,calm,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0919,3,bored->calm
True,hold_review,0.0,1,,Low,calm,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0974,3,happy->calm
False,hold_review,-1.0,1,,Low,glad,Positive,gemini35_objection,True,track2_0308,2,content->glad
True,hold_review,-1.0,1,,Low,tired,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0097,2,calm->tired
True,hold_review,-1.0,1,,Low,tired,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0326,2,calm->tired
True,hold_review,-1.0,1,,Low,sad,Negative,dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0655,2,calm->sad
True,hold_review,-1.0,1,,High,excited,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0779,2,content->excited
True,hold_review,-2.0,1,,High,excited,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0382,1,content->excited
True,hold_review,-2.0,1,,High,excited,Positive,missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0998,1,content->excited
True,hold_review,-5.0,1,,Low,calm,Positive,gemini35_objection;missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0441,3,annoyed->calm
True,hold_review,-5.0,1,,Low,sad,Negative,gemini35_objection;dangerous_positive_low_to_negative;missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0591,3,calm->sad
True,hold_review,-5.0,1,,Low,sad,Negative,gemini35_objection;missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0666,3,alarmed->sad
True,hold_review,-5.0,1,,Low,calm,Positive,gemini35_objection;missing_cross_arbitration;missing_hard96_gain;low_evidence_score;insufficient_source_count;insufficient_family_count,False,track2_0733,3,aroused->calm
