cross_quadrant_risk,current_arousal,current_emotion,current_valence,evidence_score,gemini35_fit_margin,gemini35_objection,gemini35_prefers_proposed,hard96_net_gain,hard96_net_loss,human_confirmed,malformed,malformed_reasons,proposed_arousal,proposed_emotion,proposed_valence,public_reference_contradiction,public_reference_support,same_quadrant,sample_id,supporting_families,supporting_family_count,supporting_source_count,supporting_sources,transition,vulca_objection
False,Low,calm,Positive,16.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0975,label_rubric;model;public_reference;selective;teacher,5,10,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0028,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0045,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0047,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0102,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0104,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0109,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0193,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0266,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0343,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0426,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0430,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0456,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0496,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0534,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0588,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0597,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0633,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0652,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0702,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0744,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0751,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0761,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0807,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,content,Positive,15.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0819,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue,content->calm,False
False,Low,calm,Positive,15.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0937,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,14.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0089,label_rubric;model;public_reference;selective;teacher,5,8,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue,calm->content,False
False,Low,sad,Negative,12.0,0.0,False,False,0,0,False,False,,Low,tired,Negative,False,False,True,track2_0408,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,sad->tired,False
False,Low,content,Positive,12.0,0.0,False,False,0,0,False,False,,Low,glad,Positive,False,False,True,track2_0434,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,content->glad,False
False,Low,content,Positive,12.0,0.0,False,False,0,0,False,False,,Low,glad,Positive,False,False,True,track2_0604,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,content->glad,False
False,High,excited,Positive,12.0,0.0,False,False,0,0,False,False,,High,happy,Positive,False,False,True,track2_0964,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,excited->happy,False
False,Low,content,Positive,11.0,0.0,False,False,0,0,False,False,,Low,glad,Positive,False,False,True,track2_0027,label_rubric;public_reference;selective;teacher,4,6,label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,content->glad,False
False,Low,content,Positive,11.0,0.0,False,False,0,0,False,False,,Low,glad,Positive,False,False,True,track2_0057,label_rubric;public_reference;selective;teacher,4,6,label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,content->glad,False
False,Low,content,Positive,11.0,0.0,False,False,0,0,False,False,,Low,glad,Positive,False,False,True,track2_0111,label_rubric;public_reference;selective;teacher,4,6,label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,content->glad,False
False,Low,calm,Positive,11.0,0.0,False,False,0,0,False,False,,Low,glad,Positive,False,False,True,track2_0622,label_rubric;public_reference;selective;teacher,4,6,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue,calm->glad,False
False,Low,calm,Positive,11.0,0.0,False,False,0,0,False,False,,Low,glad,Positive,False,False,True,track2_0897,label_rubric;public_reference;selective;teacher,4,6,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue,calm->glad,False
True,High,annoyed,Negative,11.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,False,track2_0547,label_rubric;model;public_reference;selective;teacher,5,10,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,annoyed->calm,False
False,Low,content,Positive,10.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0210,label_rubric;model;public_reference;teacher,4,5,ensemble;label_auto;public_ref_auto;teacher_rescue;teacher_top120,content->calm,False
False,Low,calm,Positive,10.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0495,label_rubric;model;selective,3,6,balanced;dinov2;ensemble;label_selective;selective_v2;siglip2,calm->content,False
False,Low,content,Positive,10.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0555,label_rubric;model;public_reference;teacher,4,5,ensemble;label_auto;public_ref_auto;teacher_rescue;teacher_top120,content->calm,False
False,Low,content,Positive,10.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0869,label_rubric;model;public_reference;teacher,4,5,ensemble;label_auto;public_ref_auto;teacher_rescue;teacher_top120,content->calm,False
False,Low,content,Positive,10.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0871,label_rubric;model;public_reference;teacher,4,5,ensemble;label_auto;public_ref_auto;teacher_rescue;teacher_top120,content->calm,False
False,Low,content,Positive,10.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0914,label_rubric;model;public_reference;teacher,4,5,ensemble;label_auto;public_ref_auto;teacher_rescue;teacher_top120,content->calm,False
False,Low,calm,Positive,10.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0955,label_rubric;model;selective,3,6,balanced;dinov2;ensemble;label_selective;selective_v2;siglip2,calm->content,False
False,Low,content,Positive,10.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0956,model;public_style,2,5,ensemble;public_conservative10;public_landscape8;public_review11;siglip2,content->calm,False
False,Low,calm,Positive,9.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0023,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content,False
False,Low,calm,Positive,9.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0130,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content,False
False,Low,content,Positive,9.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0169,model;public_style,2,4,ensemble;public_conservative10;public_landscape8;public_review11,content->calm,False
False,Low,calm,Positive,9.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0285,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content,False
False,Low,content,Positive,9.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0410,model;public_style,2,4,ensemble;public_conservative10;public_landscape8;public_review11,content->calm,False
False,Low,content,Positive,9.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0443,model;public_style,2,4,ensemble;public_conservative10;public_landscape8;public_review11,content->calm,False
False,Low,content,Positive,9.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0515,model;public_style,2,4,ensemble;public_conservative10;public_landscape8;public_review11,content->calm,False
False,Low,content,Positive,9.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0580,model;public_style,2,4,ensemble;public_conservative10;public_landscape8;public_review11,content->calm,False
False,Low,calm,Positive,9.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0647,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content,False
False,Low,content,Positive,9.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0651,model;public_style,2,4,ensemble;public_conservative10;public_landscape8;public_review11,content->calm,False
False,Low,content,Positive,9.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0765,model;public_style;teacher,3,3,ensemble;public_review11;teacher_top120,content->calm,False
False,Low,calm,Positive,9.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0841,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content,False
False,Low,calm,Positive,9.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0864,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content,False
False,Low,content,Positive,9.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0880,model;public_style,2,4,ensemble;public_conservative10;public_landscape8;public_review11,content->calm,False
False,Low,calm,Positive,9.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0904,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content,False
False,Low,content,Positive,8.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0704,model;public_style,2,3,ensemble;public_conservative10;public_review11,content->calm,False
False,Low,content,Positive,8.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0944,model;public_style,2,3,ensemble;public_conservative10;public_review11,content->calm,False
False,High,aroused,Positive,7.0,0.0,False,False,0,0,False,False,,High,excited,Positive,False,False,True,track2_0372,model;selective,2,4,balanced;dinov2;ensemble;siglip2,aroused->excited,False
False,Low,glad,Positive,7.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0913,model;selective,2,4,balanced;dinov2;ensemble;siglip2,glad->content,False
True,Low,calm,Positive,7.0,0.0,False,False,0,0,False,False,,Low,tired,Negative,False,False,False,track2_0088,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,calm->tired,False
True,Low,calm,Positive,7.0,0.0,False,False,0,0,False,False,,Low,tired,Negative,False,False,False,track2_0139,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,calm->tired,False
True,Low,calm,Positive,7.0,0.0,False,False,0,0,False,False,,Low,bored,Negative,False,False,False,track2_0319,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,calm->bored,False
True,Low,calm,Positive,7.0,0.0,False,False,0,0,False,False,,Low,bored,Negative,False,False,False,track2_0414,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,calm->bored,False
True,Low,calm,Positive,7.0,0.0,False,False,0,0,False,False,,High,aroused,Positive,False,False,False,track2_0457,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,calm->aroused,False
True,Low,calm,Positive,7.0,0.0,False,False,0,0,False,False,,High,aroused,Positive,False,False,False,track2_0665,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,calm->aroused,False
True,High,alarmed,Negative,7.0,0.0,False,False,0,0,False,False,,High,aroused,Positive,False,False,False,track2_0728,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,alarmed->aroused,False
True,Low,calm,Positive,7.0,0.0,False,False,0,0,False,False,,Low,tired,Negative,False,False,False,track2_0925,label_rubric;public_reference;selective;teacher,4,7,balanced;label_auto;label_selective;public_ref_auto;selective_v2;teacher_rescue;teacher_top120,calm->tired,False
False,Low,tired,Negative,5.0,0.0,False,False,0,0,False,False,,Low,sad,Negative,False,False,True,track2_0031,model,1,3,dinov2;ensemble;siglip2,tired->sad,False
False,Low,bored,Negative,5.0,0.0,False,False,0,0,False,False,,Low,sad,Negative,False,False,True,track2_0113,model,1,3,dinov2;ensemble;siglip2,bored->sad,False
False,High,happy,Positive,5.0,0.0,False,False,0,0,False,False,,High,excited,Positive,False,False,True,track2_0152,model,1,3,dinov2;ensemble;siglip2,happy->excited,False
False,Low,glad,Positive,5.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0237,model,1,3,dinov2;ensemble;siglip2,glad->content,False
False,Low,content,Positive,5.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0280,model;teacher,2,2,ensemble;teacher_top120,content->calm,False
False,Low,calm,Positive,5.0,0.0,True,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0281,label_rubric;model;selective,3,6,balanced;dinov2;ensemble;label_selective;selective_v2;siglip2,calm->content,False
False,Low,tired,Negative,5.0,0.0,False,False,0,0,False,False,,Low,sad,Negative,False,False,True,track2_0567,model,1,3,dinov2;ensemble;siglip2,tired->sad,False
False,Low,glad,Positive,5.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0643,model,1,3,dinov2;ensemble;siglip2,glad->calm,False
False,Low,tired,Negative,5.0,0.0,False,False,0,0,False,False,,Low,sad,Negative,False,False,True,track2_0694,model,1,3,dinov2;ensemble;siglip2,tired->sad,False
False,Low,content,Positive,5.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0718,model;teacher,2,2,ensemble;teacher_top120,content->calm,False
False,Low,content,Positive,5.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0809,model;teacher,2,2,ensemble;teacher_top120,content->calm,False
False,Low,glad,Positive,5.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0818,model,1,3,dinov2;ensemble;siglip2,glad->content,False
False,Low,glad,Positive,5.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0957,model,1,3,dinov2;ensemble;siglip2,glad->content,False
True,Low,calm,Positive,5.0,0.0,False,False,0,0,False,False,,Low,sad,Negative,False,False,False,track2_0153,model;public_reference;selective,3,6,balanced;dinov2;ensemble;public_ref_auto;selective_v2;siglip2,calm->sad,False
True,Low,calm,Positive,5.0,0.0,False,False,0,0,False,False,,Low,tired,Negative,False,False,False,track2_0286,model;public_reference;selective,3,6,balanced;dinov2;ensemble;public_ref_auto;selective_v2;siglip2,calm->tired,False
True,Low,calm,Positive,5.0,0.0,False,False,0,0,False,False,,Low,tired,Negative,False,False,False,track2_0318,model;public_reference;selective,3,6,balanced;dinov2;ensemble;public_ref_auto;selective_v2;siglip2,calm->tired,False
True,Low,calm,Positive,5.0,0.0,False,False,0,0,False,False,,Low,tired,Negative,False,False,False,track2_0796,label_rubric;model;selective,3,6,balanced;dinov2;ensemble;label_selective;selective_v2;siglip2,calm->tired,False
True,Low,content,Positive,5.0,0.0,False,False,0,0,False,False,,High,annoyed,Negative,False,False,False,track2_0815,label_rubric;model;selective,3,6,balanced;dinov2;ensemble;label_selective;selective_v2;siglip2,content->annoyed,False
True,Low,calm,Positive,5.0,0.0,False,False,0,0,False,False,,Low,bored,Negative,False,False,False,track2_0829,model;public_reference;selective,3,6,balanced;dinov2;ensemble;public_ref_auto;selective_v2;siglip2,calm->bored,False
False,Low,calm,Positive,4.0,0.0,True,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0161,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content,False
False,Low,calm,Positive,4.0,0.0,True,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0199,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content,False
False,Low,calm,Positive,4.0,0.0,True,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0569,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content,False
False,Low,calm,Positive,4.0,0.0,True,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0606,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content,False
False,Low,calm,Positive,4.0,0.0,True,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0794,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content,False
False,Low,calm,Positive,4.0,0.0,True,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0866,label_rubric;model;selective,3,5,balanced;dinov2;label_selective;selective_v2;siglip2,calm->content,False
False,Low,content,Positive,3.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0044,model,1,1,ensemble,content->calm,False
False,Low,content,Positive,3.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0087,model,1,1,ensemble,content->calm,False
False,Low,content,Positive,3.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0099,model,1,1,ensemble,content->calm,False
False,Low,content,Positive,3.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0270,model,1,1,ensemble,content->calm,False
False,Low,content,Positive,3.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0271,model,1,1,ensemble,content->calm,False
False,Low,content,Positive,3.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0455,model,1,1,ensemble,content->calm,False
False,Low,content,Positive,3.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0481,model,1,1,ensemble,content->calm,False
False,Low,content,Positive,3.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0557,model,1,1,ensemble,content->calm,False
False,Low,calm,Positive,3.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0622,teacher,1,1,teacher_top120,calm->content,False
False,Low,content,Positive,3.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0678,model,1,1,ensemble,content->calm,False
False,Low,content,Positive,3.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0800,model,1,1,ensemble,content->calm,False
False,Low,content,Positive,3.0,0.0,False,False,0,0,False,False,,Low,calm,Positive,False,False,True,track2_0832,model,1,1,ensemble,content->calm,False
