score	sample_id	subject_terms	hits	caption
8	track2_0666	1	etching	A person is depicted in a desperate struggle, pinned to the ground by a large, dark beast in a stark, monochromatic etching.
8	track2_0673	0	\bseries\b	A stark, monochromatic woodcut featuring fragmented figures and a dense, chaotic web of geometric lines that evoke a sense of agitation and visual con
8	track2_0686	2	Renaissance,tempera	A full-length portrait of Saint Agatha standing against a richly patterned gold background, holding a platter with her severed breasts and a palm fron
7	track2_0001	0	etching	A somber etching depicting a group of emaciated and suffering figures, some lying on the ground, while others stand by with an air of indifference or
7	track2_0019	3	Renaissance,\bChrist\b	The painting depicts the Flight into Egypt, with Joseph leading a donkey carrying Mary and the Christ child through a rocky landscape under the guidan
7	track2_0079	0	\bseries\b	An abstract charcoal drawing featuring a series of soft, rounded, overlapping forms that resemble rolling hills or clouds, creating a sense of quiet d
7	track2_0084	5	Japanese woodblock,printmaking	A serene Japanese woodblock print depicting a woman in an ornate kimono standing on a rustic bridge, gazing thoughtfully at the drooping branches of a
7	track2_0093	1	Chinese landscape	A serene traditional Chinese landscape painting depicting misty mountains, a secluded pavilion perched on a cliff, and a lush forest, evoking a sense
7	track2_0120	3	engraving	A dramatic engraving depicting two muscular men in a state of physical struggle or torment, with one figure leaning against a tree and the other lying
7	track2_0187	1	Japanese woodblock	A full-length ukiyo-e print of a kabuki actor in a dramatic, confrontational stance, featuring bold patterns and a stern facial expression.
7	track2_0224	1	printmaking	A dynamic abstract composition featuring a complex interplay of solid black geometric forms, textured organic shapes, and sharp intersecting lines aga
7	track2_0251	0	printmaking	A stark, monochromatic abstract print featuring heavy black masses punctuated by sharp white geometric and organic shapes, creating a sense of structu
7	track2_0315	1	printmaking	A stark black and white abstract print featuring a dynamic interplay of geometric and organic shapes with varied textures.
7	track2_0331	3	etching,engraving	A monochromatic print depicting a weary man tending to two oxen in a landscape, with a small dog nearby and a seated figure observing from the left.
7	track2_0332	2	engraving	A classical engraving of a nude male figure in a powerful, heroic stance, showcasing detailed anatomical study and muscular tension.
7	track2_0367	2	Japanese woodblock,symbolic	A complex Japanese woodblock print featuring a central cage of cranes surrounded by various symbolic vignettes, including a dragon head, a galloping h
7	track2_0394	3	engraving	A detailed anatomical engraving of a muscular male figure from behind, captured in a dynamic, twisting pose that emphasizes the musculature of the bac
7	track2_0398	3	Buddhist,East Asian	A traditional East Asian portrait of a Buddhist monk seated in meditation, holding prayer beads, with a small attendant at his side and calligraphy ab
7	track2_0489	1	Japanese woodblock	A serene Japanese woodblock print depicting three women and a man gathered under blooming cherry blossoms, engaged in a quiet social moment.
7	track2_0515	1	Chinese landscape	A serene traditional Chinese landscape painting depicting figures walking along a riverbank shaded by weeping willow trees, evoking a sense of peacefu
7	track2_0533	3	etching,printmaking	A somber and dark etching depicting a group of figures gathered around a fallen or deceased person in a murky, indistinct environment.
7	track2_0540	1		Two women in patterned kimonos are depicted playing a traditional Japanese game of Hanetsuki, with one woman poised to strike a shuttlecock with her d
7	track2_0550	1	Japanese woodblock	A traditional Japanese woodblock print featuring a figure in a patterned kimono gracefully holding a small vase of peonies.
7	track2_0575	1	engraving	A collection of eight diverse human heads, each with a distinct expression, ranging from stern and weary to thoughtful and somber, rendered in a detai
7	track2_0660	0	East Asian	A delicate and serene traditional East Asian painting of white flowers and green foliage against a neutral, textured background.
7	track2_0713	2	etching	A monochromatic etching of a male nude figure seen from the back, with one arm raised in a graceful, contemplative pose.
7	track2_0782	3	18th-century,engraving	A detailed 18th-century perspective view of the Mansion House in London, depicting an orderly urban scene with a grand classical building, a horse-dra
7	track2_0788	2	Chinese landscape,\bseries\b	A serene traditional Chinese landscape painting depicting rugged mountain peaks, sparse pine trees, and a secluded pavilion, evoking a sense of schola
7	track2_0807	1	Chinese landscape	A serene traditional Chinese landscape painting depicting a scholar's retreat with misty mountains, a quiet river, and a solitary boatman.
7	track2_0867	0	Chinese landscape	A serene traditional Chinese landscape painting depicting travelers and their horses resting in a quiet, open field surrounded by sparse trees.
7	track2_0889	1	East Asian	A delicate and serene traditional East Asian painting featuring pale purple and white flowers with soft green leaves against a textured, neutral backg
7	track2_0904	5	Chinese landscape,\bartist\b	A traditional Chinese landscape painting depicting mist-shrouded mountains, dense forests, and a serene river with a solitary boat, surrounded by exte
7	track2_0931	1	Japanese woodblock	A serene Japanese woodblock print depicting three figures interacting with roosters beneath a blossoming plum tree, evoking a sense of peaceful domest
7	track2_0948	2	Chinese landscape,\bseries\b	A serene traditional Chinese landscape painting featuring layered, rounded mountains, sparse trees, and extensive calligraphic inscriptions, evoking a
7	track2_0986	0	printmaking	An intricate abstract composition of overlapping geometric shapes and textures in a balanced, earthy palette.
7	track2_0994	1	East Asian	A serene traditional East Asian painting featuring birds and fruit-laden branches against a warm, aged silk background.
6	track2_0003	1	Japanese woodblock	A bustling and energetic Japanese woodblock print depicting a crowded street scene filled with people in traditional dress, suggesting a lively festiv
6	track2_0048	3	engraving	A monochrome engraving depicting a muscular male figure seated on a stone block, his head bowed and body slumped in a posture of physical exhaustion o
6	track2_0090	0	printmaking	An abstract print featuring a harmonious arrangement of overlapping geometric and organic shapes in a muted, earthy palette.
6	track2_0111	3	19th-century,Japanese woodblock	A Japanese woodblock print depicting a Western couple in mid-19th-century attire, with the man smoking a pipe and the woman in a tiered dress and feat
6	track2_0114	0	printmaking	A complex abstract print featuring a dense layering of jagged, interlocking shapes in a palette of burnt orange, deep brown, and teal.
6	track2_0127	2	Japanese woodblock	A Japanese woodblock print depicting a Western man in a top hat looking through a telescope while a woman in a red blouse and blue skirt sits beside h
6	track2_0142	2	Japanese woodblock	A bustling and lively Japanese woodblock print depicting a dense crowd of people carrying lanterns during a night festival near a bridge under a starr
6	track2_0151	3	etching	A dramatic etching depicting a central woman recoiling in alarm from a group of shadowy, grotesque figures, suggesting a scene of fear or confrontatio
6	track2_0153	1	Chinese landscape	A monumental and contemplative traditional Chinese landscape painting depicting a massive, weathered mountain peak rising above a misty valley with gn
6	track2_0184	1	printmaking	An abstract composition of interlocking biomorphic and geometric shapes in shades of grey, black, and ochre, creating a sense of tension and structura
6	track2_0203	3	engraving	An anatomical engraving of a muscular male figure in a dynamic, strained pose, showcasing detailed musculature and physical intensity.
6	track2_0206	4	engraving	A detailed anatomical engraving of a muscular male figure viewed from behind, standing with one foot slightly raised on a rock, holding a piece of dra
6	track2_0219	0	Japanese woodblock	A monochrome Japanese woodblock print depicting four figures in traditional dress engaged in leisurely activities like smoking, conversation, and musi
6	track2_0240	0	printmaking	An abstract arrangement of overlapping geometric and organic forms in soft, muted tones, evoking a sense of quiet balance and layered depth.
6	track2_0245	3	etching,engraving	A dramatic etching of a nude male figure in a state of intense physical or emotional strain, leaning against wooden structures with a pained expressio
6	track2_0269	0	Japanese woodblock	A serene Japanese woodblock print depicting a formal encounter between figures in a landscape featuring a torii gate and Mount Fuji.
6	track2_0276	1	printmaking	An abstract, expressive print featuring two figures amidst a chaotic and agitated landscape of scratchy lines and deep shadows.
6	track2_0278	0	East Asian	A delicate and serene traditional East Asian painting featuring soft pink and white blossoms with muted green foliage against a textured, neutral back
6	track2_0280	0	Chinese landscape	A serene traditional Chinese landscape painting on a fan, depicting a peaceful valley with lush trees and dwellings nestled among rolling green mounta
6	track2_0295	1	Chinese landscape	A serene traditional Chinese landscape painting featuring misty mountains, gnarled trees with hints of autumn foliage, and a vast, atmospheric sense o
6	track2_0297	0	printmaking	A stylized, abstract still life featuring a cabbage and other organic forms rendered in flat, geometric planes of color.
6	track2_0327	1	Gothic	A dramatic International Gothic scene of Saint George on a rearing white horse piercing a dragon with a lance, surrounded by a landscape littered with
6	track2_0373	0	Buddhist	A traditional Chinese ink painting depicting two elderly Buddhist figures, possibly arhats, in a moment of quiet movement or contemplation.
6	track2_0381	2	Japanese woodblock	A serene Japanese woodblock print showing two women and a child walking through a landscape with autumn trees and a winding path.
6	track2_0412	3	etching,engraving	A dynamic etching of a nude male figure in a strained, reactive pose, leaning against a wooden beam and a large rock with one arm raised in a gesture
6	track2_0413	1	Japanese woodblock	Five women in traditional Japanese kimonos are depicted in a quiet, observant moment, looking through a window at a garden landscape.
6	track2_0475	0	East Asian	A delicate traditional East Asian painting of yellow chrysanthemums and green foliage, exuding a sense of peaceful harmony and natural beauty.
6	track2_0478	1	Japanese woodblock	A serene Japanese woodblock print depicting an orderly arrangement of kitchen utensils and ingredients on a wooden stand, accompanied by elegant calli
6	track2_0497	0	Chinese landscape	A monumental traditional Chinese landscape painting depicting towering, mist-shrouded mountains and sparse trees, conveying a sense of profound stilln
6	track2_0510	1	\bartist\b	A traditional Chinese album leaf featuring expressive calligraphy on the left and a minimalist, serene landscape painting on the right, both set again
6	track2_0516	1	East Asian	A serene traditional East Asian painting depicting two spotted cats in a lush garden filled with blooming flowers and bamboo leaves.
6	track2_0528	1	Chinese landscape	A serene traditional Chinese landscape painting depicting layered mountains and sparse trees in a vertical scroll format, evoking a sense of scholarly
6	track2_0563	0	\bseries\b	A vertical abstract print featuring a series of overlapping black geometric shapes and thin, sharp lines arranged in a tall, narrow column against a n
6	track2_0579	3	etching,engraving	A powerful nude male figure is shown in a state of intense physical struggle, using his body as a lever against a heavy wooden beam in a rocky setting
6	track2_0582	0	printmaking	A stark, monochromatic abstract print depicting a narrow, industrial alleyway flanked by dark, looming structures and sharp, angular forms, leading to
6	track2_0583	0	Japanese woodblock	A monochromatic Japanese woodblock print showing two figures in patterned kimonos reclining intimately while reading a book together.
6	track2_0607	4	engraving	A meticulous anatomical engraving of a standing nude male figure with a beard, hands clasped, presented in a formal and academic style.
6	track2_0617	3		A graceful woman in a patterned kimono carries a small tray, her body swaying in a fluid, dance-like motion within a traditional Japanese setting feat
6	track2_0676	1	Chinese landscape	A serene traditional Chinese landscape painting depicting a scholar's pavilion nestled among rocky hills, lush trees, and a distant waterfall, evoking
6	track2_0683	2	engraving	A dramatic engraving of a muscular male figure in a state of intense emotion or physical exertion, reclining with one arm raised and head tilted back.
6	track2_0717	1	Renaissance	A multi-scene narrative painting depicting a trial under a triple-arched portico, a figure being led away by guards, and a martyrdom occurring in the
6	track2_0725	2	Japanese woodblock	A serene Japanese woodblock print depicting two women in an interior, focused on reading a long scroll together.
6	track2_0732	0	Renaissance	A dramatic early Renaissance scene depicting the Feast of Herod, where the presentation of John the Baptist's head on a platter causes visible shock a
6	track2_0779	0	printmaking	An abstract, cubist-inspired still life featuring a vibrant red vase and fragmented floral forms rendered in a warm, earthy palette with geometric pla
6	track2_0792	2	19th-century,Japanese woodblock	A 19th-century Japanese woodblock print depicting Westerners and a Chinese man collaboratively preparing food in a kitchen, accompanied by a dog.
6	track2_0796	2	etching	A monochromatic etching of a nude male figure sitting in a contemplative, serene pose against a dark, textured background.
6	track2_0810	3	Japanese woodblock	A serene Japanese ukiyo-e print depicting three women in an interior setting, two seated on a green tatami mat examining scrolls while a third watches
