rank,sample_id,recommended_model,candidate_count,primary_expert,support_experts,provider_prompt_path,caption
11,track1_0370,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/11_track1_0370_reference_style.txt,"A Socialist Realism Soviet propaganda poster with a group of young people holding bouquets around a decorated soldier, backed by sweeping red flags, Cyrillic slogans, and a bright celebratory color palette."
12,track1_0370,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/12_track1_0370_fid_diverse.txt,"A Socialist Realism Soviet propaganda poster with a group of young people holding bouquets around a decorated soldier, backed by sweeping red flags, Cyrillic slogans, and a bright celebratory color palette."
13,track1_0747,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/13_track1_0747_aas_safe.txt,"A Socialist Realism Soviet wartime propaganda poster with bold Cyrillic lettering, mounted soldiers, fleeing civilians, burning village ruins, aircraft overhead, and dramatic brushwork in a muted blue, red, and ochre palette."
14,track1_0747,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/14_track1_0747_reference_style.txt,"A Socialist Realism Soviet wartime propaganda poster with bold Cyrillic lettering, mounted soldiers, fleeing civilians, burning village ruins, aircraft overhead, and dramatic brushwork in a muted blue, red, and ochre palette."
15,track1_0747,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/15_track1_0747_fid_diverse.txt,"A Socialist Realism Soviet wartime propaganda poster with bold Cyrillic lettering, mounted soldiers, fleeing civilians, burning village ruins, aircraft overhead, and dramatic brushwork in a muted blue, red, and ochre palette."
16,track1_0476,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/16_track1_0476_aas_safe.txt,"A Socialist Realism propaganda poster with bold Cyrillic lettering, a naval medal, sailing ships, cannon, and uniformed sailors in a dramatic maritime battle scene rendered with graphic linework and muted watercolor tones."
17,track1_0476,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/17_track1_0476_reference_style.txt,"A Socialist Realism propaganda poster with bold Cyrillic lettering, a naval medal, sailing ships, cannon, and uniformed sailors in a dramatic maritime battle scene rendered with graphic linework and muted watercolor tones."
18,track1_0476,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/18_track1_0476_fid_diverse.txt,"A Socialist Realism propaganda poster with bold Cyrillic lettering, a naval medal, sailing ships, cannon, and uniformed sailors in a dramatic maritime battle scene rendered with graphic linework and muted watercolor tones."
19,track1_0898,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/19_track1_0898_aas_safe.txt,"Socialist Realism poster art of Soviet soldiers charging through a snowy battlefield with a raised rifle, a red flag, bold Cyrillic slogans, dramatic action, and a muted red-blue color palette."
20,track1_0898,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/20_track1_0898_reference_style.txt,"Socialist Realism poster art of Soviet soldiers charging through a snowy battlefield with a raised rifle, a red flag, bold Cyrillic slogans, dramatic action, and a muted red-blue color palette."
21,track1_0898,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/21_track1_0898_fid_diverse.txt,"Socialist Realism poster art of Soviet soldiers charging through a snowy battlefield with a raised rifle, a red flag, bold Cyrillic slogans, dramatic action, and a muted red-blue color palette."
22,track1_0708,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/22_track1_0708_aas_safe.txt,"A Socialist Realism wartime poster of Soviet soldiers advancing through a rugged battlefield, with a front soldier holding a submachine gun and another raising a red banner, rendered in heroic composition, muted earth tones, and bold Cyrillic typography."
23,track1_0708,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/23_track1_0708_reference_style.txt,"A Socialist Realism wartime poster of Soviet soldiers advancing through a rugged battlefield, with a front soldier holding a submachine gun and another raising a red banner, rendered in heroic composition, muted earth tones, and bold Cyrillic typography."
24,track1_0708,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/24_track1_0708_fid_diverse.txt,"A Socialist Realism wartime poster of Soviet soldiers advancing through a rugged battlefield, with a front soldier holding a submachine gun and another raising a red banner, rendered in heroic composition, muted earth tones, and bold Cyrillic typography."
25,track1_0353,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/25_track1_0353_aas_safe.txt,"A Socialist Realism Soviet poster-style scene with a jubilant crowd of soldiers and civilians watching fireworks over the Kremlin and Red Square beneath bold Cyrillic lettering, rendered in a vintage muted palette with dramatic light and shadow."
26,track1_0353,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/26_track1_0353_reference_style.txt,"A Socialist Realism Soviet poster-style scene with a jubilant crowd of soldiers and civilians watching fireworks over the Kremlin and Red Square beneath bold Cyrillic lettering, rendered in a vintage muted palette with dramatic light and shadow."
27,track1_0353,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/27_track1_0353_fid_diverse.txt,"A Socialist Realism Soviet poster-style scene with a jubilant crowd of soldiers and civilians watching fireworks over the Kremlin and Red Square beneath bold Cyrillic lettering, rendered in a vintage muted palette with dramatic light and shadow."
28,track1_0593,gemini-3.1-flash-image,3,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/28_track1_0593_aas_safe.txt,"A Socialist Realism Soviet propaganda poster with bold Cyrillic text, a monumental sword-wielding historical figure above soldiers raising red flags amid a liberated battlefield town, rendered in dramatic colors and strong graphic brushwork."
