sample_id,tier,recommended_decision,human_task,base_label,scaled_desc_v1_label,guarded_v1_label,prior_gemini_decision,prior_gemini_confidence,prior_gemini_rationale,human_decision,human_notes
track2_0733,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,aroused / 激发/兴奋 / Positive / High,calm / 平静 / Positive / Low,aroused / 激发/兴奋 / Positive / High,change_to_base,4,"The dynamic composition, fierce warrior, and menacing dragon claw contradict the label 'calm', making the high-arousal base label 'aroused' more appropriate.",,
track2_0161,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,calm / 平静 / Positive / Low,content / 满足/安适 / Positive / Low,calm / 平静 / Positive / Low,change_to_base,4,"The serene and tranquil mood of the traditional landscape painting, described as peaceful and quiet, is more directly captured by the label calm than content.",,
track2_0199,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,calm / 平静 / Positive / Low,content / 满足/安适 / Positive / Low,calm / 平静 / Positive / Low,change_to_base,4,"The subdued palette and soft lighting create a peaceful atmosphere of quietude, which is more directly aligned with the base label 'calm' than 'content'.",,
track2_0281,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,calm / 平静 / Positive / Low,content / 满足/安适 / Positive / Low,calm / 平静 / Positive / Low,change_to_base,4,"The serene and gentle atmosphere of this traditional bird-and-flower painting, described as having soft, diffused lighting, is more directly aligned with a feeling of calm than contentment.",,
track2_0308,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,content / 满足/安适 / Positive / Low,glad / 高兴 / Positive / Low,content / 满足/安适 / Positive / Low,change_to_base,4,"The serene, reverent, and peaceful atmosphere of this classical Adoration scene is better characterized by a sense of quiet contentment than gladness.",,
track2_0569,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,calm / 平静 / Positive / Low,content / 满足/安适 / Positive / Low,calm / 平静 / Positive / Low,change_to_base,4,"The serene and peaceful atmosphere of the traditional landscape painting, as described in the text, is more directly aligned with the emotion of calm than content.",,
track2_0606,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,calm / 平静 / Positive / Low,content / 满足/安适 / Positive / Low,calm / 平静 / Positive / Low,change_to_base,4,"The serene river landscape and garden scene, described as tranquil and calm in the text, align more naturally with calm than content.",,
track2_0794,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,calm / 平静 / Positive / Low,content / 满足/安适 / Positive / Low,calm / 平静 / Positive / Low,change_to_base,4,"The artwork's serene, tranquil atmosphere and muted color palette are more directly and strongly characterized by the emotion 'calm' than 'content'.",,
track2_0866,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,calm / 平静 / Positive / Low,content / 满足/安适 / Positive / Low,calm / 平静 / Positive / Low,change_to_base,4,"The serene and harmonious atmosphere of this traditional Chinese ink painting, depicting a bird and blossoms in a quiet natural setting, is more directly and strongly characterized as calm rather than content.",,
track2_0139,B,keep_guarded_v1,低优先级抽查；如果图像明显不符再改。,tired / 疲惫 / Negative / Low,calm / 平静 / Positive / Low,calm / 平静 / Positive / Low,keep_final,3,"The contemplative poses of the figures and the muted, traditional ink style support a calm and reflective mood.",,
track2_0547,C,hold_manual_consider_base,必须人工二选一：若图像更平静/快乐，改回 Base；否则保留 Guarded v1。,calm / 平静 / Positive / Low,annoyed / 恼怒 / Negative / High,annoyed / 恼怒 / Negative / High,change_to_base,3,The balanced abstract composition and clean monochrome lines evoke a neutral or calm feeling rather than annoyance.,,
track2_0635,B,keep_guarded_v1,低优先级抽查；如果图像明显不符再改。,excited / 兴奋 / Positive / High,happy / 快乐 / Positive / High,happy / 快乐 / Positive / High,keep_final,3,The vibrant red patterns and bustling trade scene depict a prosperous and lively atmosphere that supports a happy emotion.,,
track2_0869,C,hold_manual_consider_base,必须人工二选一：若图像更平静/快乐，改回 Base；否则保留 Guarded v1。,calm / 平静 / Positive / Low,content / 满足/安适 / Positive / Low,content / 满足/安适 / Positive / Low,change_to_base,3,"The serene, misty landscape and scholarly gathering evoke a sense of tranquility and calmness better represented by the base label.",,
track2_0964,C,hold_manual_consider_base,必须人工二选一：若图像更平静/快乐，改回 Base；否则保留 Guarded v1。,happy / 快乐 / Positive / High,excited / 兴奋 / Positive / High,excited / 兴奋 / Positive / High,change_to_base,3,"The figures in the procession exhibit focused and mildly pleasant expressions rather than high-energy excitement, making the base label of happy more appropriate.",,
