sample_id,score,vulca_issues,vulca_risk,desc_issues,heuristic_hits,emotion
track2_0100,0.0,0,0.0,0,,calm
track2_0101,0.0,0,0.0,0,,content
track2_0103,0.0,0,0.0,0,,content
track2_0105,0.0,0,0.0,0,,calm
track2_0106,0.0,0,0.0,0,,alarmed
track2_0107,0.0,0,0.0,0,,alarmed
track2_0108,0.0,0,0.0,0,,calm
track2_0113,0.0,0,0.0,0,,bored
track2_0115,0.0,0,0.0,0,,calm
track2_0116,0.0,0,0.0,0,,calm
track2_0118,0.0,0,0.0,0,,calm
track2_0119,0.0,0,0.0,0,,calm
track2_0121,0.0,0,0.0,0,,calm
track2_0122,0.0,0,0.0,0,,calm
track2_0123,0.0,0,0.0,0,,content
track2_0124,0.0,0,0.0,0,,calm
track2_0125,0.0,0,0.0,0,,content
track2_0129,0.0,0,0.0,0,,calm
track2_0130,0.0,0,0.0,0,,calm
track2_0132,0.0,0,0.0,0,,alarmed
track2_0133,0.0,0,0.0,0,,content
track2_0134,0.0,0,0.0,0,,content
track2_0135,0.0,0,0.0,0,,content
track2_0136,0.0,0,0.0,0,,content
track2_0137,0.0,0,0.0,0,,content
track2_0138,0.0,0,0.0,0,,calm
track2_0139,0.0,0,0.0,0,,calm
track2_0140,0.0,0,0.0,0,,aroused
track2_0141,0.0,0,0.0,0,,calm
track2_0145,0.0,0,0.0,0,,calm
track2_0146,0.0,0,0.0,0,,calm
track2_0148,0.0,0,0.0,0,,calm
track2_0149,0.0,0,0.0,0,,calm
track2_0150,0.0,0,0.0,0,,tired
track2_0152,0.0,0,0.0,0,,happy
track2_0155,0.0,0,0.0,0,,content
track2_0156,0.0,0,0.0,0,,calm
track2_0157,0.0,0,0.0,0,,calm
track2_0158,0.0,0,0.0,0,,calm
track2_0161,0.0,0,0.0,0,,calm
track2_0162,0.0,0,0.0,0,,calm
track2_0163,0.0,0,0.0,0,,tired
track2_0164,0.0,0,0.0,0,,calm
track2_0165,0.0,0,0.0,0,,content
track2_0167,0.0,0,0.0,0,,content
track2_0168,0.0,0,0.0,0,,calm
track2_0170,0.0,0,0.0,0,,frustrated
track2_0171,0.0,0,0.0,0,,calm
track2_0172,0.0,0,0.0,0,,calm
track2_0173,0.0,0,0.0,0,,calm
track2_0174,0.0,0,0.0,0,,content
track2_0177,0.0,0,0.0,0,,tired
track2_0178,0.0,0,0.0,0,,content
track2_0179,0.0,0,0.0,0,,tired
track2_0180,0.0,0,0.0,0,,aroused
track2_0181,0.0,0,0.0,0,,content
track2_0185,0.0,0,0.0,0,,content
track2_0186,0.0,0,0.0,0,,calm
track2_0188,0.0,0,0.0,0,,bored
track2_0189,0.0,0,0.0,0,,content
track2_0190,0.0,0,0.0,0,,calm
track2_0191,0.0,0,0.0,0,,content
track2_0194,0.0,0,0.0,0,,calm
track2_0195,0.0,0,0.0,0,,calm
track2_0196,0.0,0,0.0,0,,tired
track2_0198,0.0,0,0.0,0,,excited
track2_0199,0.0,0,0.0,0,,calm
track2_0200,0.0,0,0.0,0,,calm
track2_0201,0.0,0,0.0,0,,content
track2_0202,0.0,0,0.0,0,,content
track2_0204,0.0,0,0.0,0,,calm
track2_0205,0.0,0,0.0,0,,annoyed
track2_0207,0.0,0,0.0,0,,content
track2_0208,0.0,0,0.0,0,,frustrated
track2_0210,0.0,0,0.0,0,,content
track2_0211,0.0,0,0.0,0,,tired
track2_0212,0.0,0,0.0,0,,calm
track2_0213,0.0,0,0.0,0,,sad
track2_0214,0.0,0,0.0,0,,calm
track2_0215,0.0,0,0.0,0,,tired
track2_0216,0.0,0,0.0,0,,calm
track2_0217,0.0,0,0.0,0,,calm
track2_0218,0.0,0,0.0,0,,calm
track2_0220,0.0,0,0.0,0,,calm
track2_0221,0.0,0,0.0,0,,tired
track2_0222,0.0,0,0.0,0,,calm
track2_0223,0.0,0,0.0,0,,frustrated
track2_0225,0.0,0,0.0,0,,calm
track2_0226,0.0,0,0.0,0,,sad
track2_0230,0.0,0,0.0,0,,calm
track2_0232,0.0,0,0.0,0,,happy
track2_0233,0.0,0,0.0,0,,tired
track2_0234,0.0,0,0.0,0,,calm
track2_0236,0.0,0,0.0,0,,calm
track2_0237,0.0,0,0.0,0,,glad
track2_0238,0.0,0,0.0,0,,calm
track2_0239,0.0,0,0.0,0,,calm
track2_0242,0.0,0,0.0,0,,calm
track2_0243,0.0,0,0.0,0,,calm
track2_0244,0.0,0,0.0,0,,calm
track2_0246,0.0,0,0.0,0,,calm
track2_0247,0.0,0,0.0,0,,frustrated
track2_0248,0.0,0,0.0,0,,calm
track2_0249,0.0,0,0.0,0,,frustrated
track2_0250,0.0,0,0.0,0,,content
track2_0252,0.0,0,0.0,0,,calm
track2_0253,0.0,0,0.0,0,,calm
track2_0254,0.0,0,0.0,0,,calm
track2_0255,0.0,0,0.0,0,,calm
track2_0256,0.0,0,0.0,0,,frustrated
track2_0257,0.0,0,0.0,0,,calm
track2_0260,0.0,0,0.0,0,,calm
track2_0261,0.0,0,0.0,0,,calm
track2_0262,0.0,0,0.0,0,,calm
track2_0263,0.0,0,0.0,0,,excited
track2_0264,0.0,0,0.0,0,,calm
track2_0265,0.0,0,0.0,0,,content
track2_0267,0.0,0,0.0,0,,calm
track2_0268,0.0,0,0.0,0,,content
track2_0270,0.0,0,0.0,0,,content
track2_0271,0.0,0,0.0,0,,content
track2_0272,0.0,0,0.0,0,,calm
track2_0273,0.0,0,0.0,0,,bored
track2_0274,0.0,0,0.0,0,,calm
track2_0275,0.0,0,0.0,0,,sad
track2_0277,0.0,0,0.0,0,,calm
track2_0281,0.0,0,0.0,0,,calm
track2_0283,0.0,0,0.0,0,,calm
track2_0284,0.0,0,0.0,0,,calm
track2_0285,0.0,0,0.0,0,,calm
track2_0287,0.0,0,0.0,0,,calm
track2_0289,0.0,0,0.0,0,,calm
track2_0290,0.0,0,0.0,0,,content
track2_0291,0.0,0,0.0,0,,calm
track2_0292,0.0,0,0.0,0,,content
track2_0293,0.0,0,0.0,0,,calm
track2_0294,0.0,0,0.0,0,,sad
track2_0296,0.0,0,0.0,0,,calm
track2_0298,0.0,0,0.0,0,,content
track2_0299,0.0,0,0.0,0,,calm
track2_0300,0.0,0,0.0,0,,calm
track2_0301,0.0,0,0.0,0,,aroused
track2_0302,0.0,0,0.0,0,,calm
track2_0303,0.0,0,0.0,0,,calm
track2_0304,0.0,0,0.0,0,,calm
track2_0305,0.0,0,0.0,0,,calm
track2_0306,0.0,0,0.0,0,,content
track2_0307,0.0,0,0.0,0,,calm
track2_0308,0.0,0,0.0,0,,content
track2_0309,0.0,0,0.0,0,,calm
track2_0310,0.0,0,0.0,0,,frustrated
track2_0311,0.0,0,0.0,0,,calm
track2_0312,0.0,0,0.0,0,,calm
track2_0313,0.0,0,0.0,0,,calm
track2_0314,0.0,0,0.0,0,,calm
track2_0317,0.0,0,0.0,0,,content
