sample_id,candidate_strategy,style_family,v7_family_id,aspect_label,recommended_model,risk_tags,caption
track1_0665,caption_faithful_guard,socialist_realism_poster,kremlin_red_square,portrait_poster,gemini-3-pro-image,text_or_symbol_guard;real_world_reference_guard;relation_logic_guard;template_distribution_guard,"A Socialist Realism Soviet victory poster with bold Russian typography, a large medal suspended from a black-and-orange ribbon above Kremlin towers, crowds, fireworks, and radiant blue searchlights in a solemn celebratory composition."
track1_0717,caption_faithful_guard,socialist_realism_poster,scroll_album_paper_support,portrait_poster,gemini-3-pro-image,text_or_symbol_guard;real_world_reference_guard;relation_logic_guard;template_distribution_guard,"A Socialist Realism Soviet poster with two medal-wearing figures holding a commemorative scroll for the 220th anniversary of the USSR Academy of Sciences, framed by bold Cyrillic lettering, pastel watercolor washes, and a formal building below."
track1_0353,caption_faithful_guard,socialist_realism_poster,kremlin_red_square,portrait_poster,gemini-3-pro-image,text_or_symbol_guard;real_world_reference_guard;template_distribution_guard,"A Socialist Realism Soviet poster-style scene with a jubilant crowd of soldiers and civilians watching fireworks over the Kremlin and Red Square beneath bold Cyrillic lettering, rendered in a vintage muted palette with dramatic light and shadow."
track1_0491,caption_faithful_guard,socialist_realism_poster,generic_artwork,portrait_poster,gemini-3.1-flash-image,text_or_symbol_guard;relation_logic_guard;template_distribution_guard,"A Socialist Realism Soviet agricultural poster with a farm woman holding a basket of vegetables before green fields, surrounded by abundant produce, bold Cyrillic lettering, bright flat colors, and strong poster-like composition."
track1_0881,caption_faithful_guard,socialist_realism_poster,naval_aviation_vehicle,portrait_poster,gemini-3-pro-image,text_or_symbol_guard;real_world_reference_guard;relation_logic_guard;template_distribution_guard;overused_reference_guard,"A Socialist Realism propaganda poster of a decorated Soviet pilot holding a flight map before military airplanes in a blue sky, framed by laurel wreaths, red ribbons, bold Cyrillic lettering, and heroic patriotic composition."
track1_0816,caption_faithful_guard,socialist_realism_poster,battle_tank_cavalry,portrait_poster,gemini-3.1-flash-image,text_or_symbol_guard;real_world_reference_guard;relation_logic_guard;template_distribution_guard;overused_reference_guard,"A Socialist Realism propaganda poster with bold Cyrillic lettering, heroic cavalry, soldiers, and civilians marching through a rural wartime landscape in vivid brushstrokes and dramatic warm light."
track1_0151,caption_faithful_guard,socialist_realism_poster,scroll_album_paper_support,portrait_poster,gemini-3.1-flash-image,text_or_symbol_guard;real_world_reference_guard;relation_logic_guard;template_distribution_guard;overused_reference_guard,"A Socialist Realism propaganda poster on aged folded paper, with bold Cyrillic lettering and dramatic Soviet soldiers charging with rifles and bayonets against historical Prussian figures, using muted greens, reds, and tan tones."
track1_0160,caption_faithful_guard,socialist_realism_poster,kremlin_red_square,portrait_poster,gemini-3-pro-image,real_world_reference_guard;template_distribution_guard;overused_reference_guard,"A Socialist Realism Soviet poster with a vast red banner bearing Stalin’s profile above the Kremlin tower, crossed by dramatic searchlights against a dark night sky in a bold red and orange palette."
track1_0926,caption_faithful_guard,generic_artwork,scroll_album_paper_support,album_spread,gemini-3.1-flash-image,text_or_symbol_guard;support_surface_guard;template_distribution_guard;overused_reference_guard,"A Gongbi-style album spread on aged paper with two muted brown portrait panels, delicate calligraphy columns, faint ink figures, and a quiet antique atmosphere."
track1_0102,caption_faithful_guard,gongbi_scroll,scroll_album_paper_support,horizontal_scroll,gemini-3.1-flash-image,text_or_symbol_guard;support_surface_guard;template_distribution_guard;overused_reference_guard,"A Gongbi handscroll scene with delicate linework and muted silk tones, featuring calligraphy beside an ancient procession of riders and attendants beneath pine trees in a calm mountainous landscape."
track1_0750,caption_faithful_guard,socialist_realism_poster,generic_artwork,panel_story,gemini-3.1-flash-image,text_or_symbol_guard;real_world_reference_guard;support_surface_guard;template_distribution_guard,"A Socialist Realism wartime propaganda poster with comic-like panels of civilians resisting fascist forces through sabotage, explosions, burning vehicles, red flags, Cyrillic slogans, and bold red, black, and pale blue graphic linework."
track1_1000,caption_faithful_guard,ink_wash_scroll,scroll_album_paper_support,square_artwork,gemini-3.1-flash-image,text_or_symbol_guard;support_surface_guard;template_distribution_guard;overused_reference_guard,"Ink and wash painting of a vertical Chinese landscape scroll with misty mountains, tall pine trees, a small pavilion, flowing brushwork, calligraphy inscription, and a red seal in a serene monochrome palette."
track1_0977,anti_template_diversifier,ink_wash_painting,scroll_album_paper_support,square_artwork,gemini-3.1-flash-image,template_distribution_guard;overused_reference_guard,"Ink and wash painting of two small mounted landscape scenes on a pale album page, featuring misty hills, trees, riverbanks, and subdued earthy tones with delicate brushwork."
track1_0966,anti_template_diversifier,ink_wash_painting,generic_artwork,square_artwork,gemini-3-pro-image,template_distribution_guard;overused_reference_guard,"Ink and wash painting of a serene mountain landscape with misty peaks, winding water paths, sparse trees, and soft monochrome brushwork on aged paper."
track1_0953,anti_template_diversifier,generic_artwork,scroll_album_paper_support,square_artwork,gemini-3.1-flash-image,template_distribution_guard;overused_reference_guard,"A black bird perched on a gnarled branch with reddish autumn leaves, rendered in Gongbi style with delicate linework, muted colors, and a calm album-leaf composition."
track1_0944,anti_template_diversifier,generic_painting,generic_artwork,square_artwork,gemini-3-pro-image,template_distribution_guard;overused_reference_guard,"A Gongbi painting of children playing in a tranquil garden landscape with rocks, bamboo, a fence, and soft pale colors defined by delicate fine-line brushwork."
track1_0942,anti_template_diversifier,generic_artwork,generic_artwork,square_artwork,gemini-3-pro-image,template_distribution_guard;overused_reference_guard,A Gongbi style Chinese scene with finely outlined figures gathered around a low tea table beneath pine trees in a quiet pastoral landscape.
track1_0938,anti_template_diversifier,ink_wash_painting,generic_artwork,square_artwork,gemini-3-pro-image,template_distribution_guard;overused_reference_guard,"Ink and wash painting of a serene riverside landscape with rocky banks, clustered trees, a small pavilion, and misty distant islands rendered in delicate sepia brushwork."
track1_0932,anti_template_diversifier,generic_artwork,generic_artwork,square_artwork,gemini-3-pro-image,template_distribution_guard;overused_reference_guard,"A serene Gongbi courtyard garden scene with finely outlined figures walking near a pavilion, willow trees, rocks, and a small bridge in muted earthy colors."
track1_0919,anti_template_diversifier,generic_painting,scroll_album_paper_support,square_artwork,gemini-3.1-flash-image,template_distribution_guard;overused_reference_guard,"A Gongbi circular landscape painting on a pale album page, featuring a small pavilion by water among blue-green rocks, trees, distant hills, tiny figures, and delicate fine-line brushwork in muted earthy tones."
track1_0917,anti_template_diversifier,generic_painting,generic_artwork,square_artwork,gemini-3-pro-image,template_distribution_guard;overused_reference_guard,"A Gongbi painting of an ancient Chinese court scene with a seated noble figure receiving attendants on a palace terrace, rendered with fine linework, delicate colors, and a calm formal atmosphere."
track1_0903,anti_template_diversifier,generic_artwork,generic_artwork,square_artwork,gemini-3-pro-image,template_distribution_guard;overused_reference_guard,"A Gongbi-style traditional Chinese scene with finely outlined robed figures and children gathered beneath a twisting pine tree, rendered in delicate brushwork, muted colors, and a calm garden setting."
track1_0999,reference_family_primary,generic_artwork,generic_artwork,square_artwork,gemini-3.1-flash-image,,"A Baroque black-and-white engraved landscape with travelers on horseback and on foot moving along a rural path beside a large shadowed tree, distant fields, dense foliage, and fine etched linework."
track1_0998,reference_family_primary,pencil_drawing,generic_artwork,square_artwork,gemini-3-pro-image,,"Abstract pencil sketch of a fragmented interior scene with angular geometric forms, overlapping objects, loose graphite lines, and a muted beige paper texture."
track1_0997,reference_family_primary,ukiyoe_woodblock,generic_artwork,square_artwork,gemini-3.1-flash-image,,"Ukiyo-e woodblock print of elegantly dressed Japanese figures gathered in an interior before sliding panels with a mountain landscape, rendered with fine linework, muted colors, and a calm theatrical composition."
track1_0993,reference_family_primary,generic_artwork,generic_artwork,square_artwork,gemini-3.1-flash-image,,"An Early Renaissance portrait of a solemn middle-aged man in a deep blue robe before rich burgundy drapery, rendered with fine detail, muted colors, and soft modeling of light and shadow."
track1_0992,reference_family_primary,ukiyoe_woodblock,generic_artwork,square_artwork,gemini-3.1-flash-image,,"Ukiyo-e scene of three figures in patterned traditional kimono among tall grasses, with muted colors, delicate linework, and a calm outdoor composition."
track1_0988,reference_family_primary,ukiyoe_woodblock,generic_artwork,square_artwork,gemini-3.1-flash-image,,"Ukiyo-e style flowering shrubs with pink and white blossoms, green leaves, and a delicate dragonfly hovering against a muted beige background with fine ink lines and soft colors."
track1_0986,reference_family_primary,pencil_drawing,generic_artwork,square_artwork,gemini-3-pro-image,,"Abstract pencil drawing of a stylized face with a single eye, angular mask-like forms, looping elliptical lines, and soft gray shading on warm beige paper."
track1_0983,reference_family_primary,generic_artwork,generic_artwork,square_artwork,gemini-3-pro-image,,"Abstract ink line drawing of overlapping fragmented human figures and organic shapes on beige paper, with delicate contour lines, cross-hatching, and a sparse composition."
track1_0982,reference_family_primary,generic_artwork,generic_artwork,square_artwork,gemini-3-pro-image,,"Abstract black woodcut-like silhouette of a tall organic plant form with wing-shaped leaves, rough vertical texture, and sparse white carved lines on a beige paper background."
track1_0981,reference_family_primary,generic_artwork,generic_artwork,square_artwork,gemini-3-pro-image,,"A Baroque religious scene of the Madonna and infant surrounded by kneeling and standing worshippers presenting gifts among shadowed architectural ruins, with dramatic light, muted colors, and flowing drapery."
track1_0976,reference_family_primary,watercolor_painting,generic_artwork,square_artwork,gemini-3-pro-image,,"Abstract watercolor and ink composition with layered brown mask-like forms, a red and blue zigzag band, green washes, and bold black organic shapes in a loose, textured arrangement."
track1_0975,reference_family_primary,ink_wash_painting,generic_artwork,square_artwork,gemini-3-pro-image,,"Ink and wash painting of a serene misty mountain landscape with pine trees, a small pavilion on the hillside, a winding river or lake, and a distant sailboat rendered in delicate brushwork and muted earth tones."
track1_0967,reference_family_primary,ink_wash_painting,generic_artwork,square_artwork,gemini-3-pro-image,,"Ink and wash painting of a tranquil bamboo grove with a winding stream, small rocks, and a lone seated figure, rendered in delicate brushwork on a warm brown ground with a calm, sparse composition."
track1_0964,reference_family_primary,ukiyoe_woodblock,generic_artwork,square_artwork,gemini-3.1-flash-image,,"A Ukiyo-e scene of three figures standing on a rocky coastal cliff beside blue waves, with tall misty rock formations in the distance, delicate linework, and a muted earthy color palette."
track1_0963,reference_family_primary,ukiyoe_woodblock,generic_artwork,square_artwork,gemini-3.1-flash-image,,"Ukiyo-e scene of two women in patterned kimonos and a young child standing outdoors near tall vertical reeds, with delicate linework and a muted earthy color palette."
track1_0962,reference_family_primary,pencil_drawing,generic_artwork,square_artwork,gemini-3-pro-image,,"Abstract watercolor study of a reclining skeletal animal-like form on aged paper, with loose pink, purple, and black brushstrokes and faint pencil lines creating a somber, unfinished composition."
